Tissue	Dataset	OR	P-value	FDR	Direction	Method
Caudate	BS_Amyg_BD	2.7562656414348408	0.10219033444250317	0.1693274925277407	EA Bias	DEG
Caudate	CMC_DLPFC_SZ	1.8155694795676756	0.106251713693283	0.1693274925277407	EA Bias	DEG
Caudate	PSY_SZ	1.8862683438155137	1.3256743163759931e-06	1.212045089258051e-05	EA Bias	DEG
Caudate	PSY_ASD	1.7624610591900312	0.005162624721187852	0.015733713436001072	EA Bias	DEG
Caudate	PSY_BD	2.2257794342427606	0.00037056460309006295	0.001694009614126002	EA Bias	DEG
Caudate	Parkinsons	3.856140350877193	0.003193972799257132	0.010220712957622823	EA Bias	DEG
Caudate	MAYO_AD	1.7209633831259465	0.0008661949654611901	0.0034647798618447604	EA Bias	DEG
Caudate	ROSMAP_AD	0.7584962406015038	1.0	1.0	EA Bias	DEG
Caudate	MSBB_MD36_AD	0.9751537515375154	1.0	1.0	EA Bias	DEG
Caudate	MSBB_MD44_AD	1.0835243553008596	0.7585357723516026	0.7958408103361077	EA Bias	DEG
Caudate	MSBB_MD22_AD	0.30390168525761746	0.3876564056984929	0.4594446289759916	EA Bias	DEG
Caudate	MSBB_MD10_AD	1.8925612391930835	0.19959699822294424	0.2777001714406181	EA Bias	DEG
Dentate Gyrus	BS_Caudate_SZ	1.2766954059220548	0.15318899743482234	0.22671121569287606	EA Bias	DEG
Dentate Gyrus	BS_DLPFC_SZ	2.1637937200486372	0.0667228479954729	0.11861839643639627	EA Bias	DEG
Dentate Gyrus	BS_Hippocampus_SZ	1.8805394990366089	0.4189121296135609	0.4672782460053929	EA Bias	DEG
Dentate Gyrus	BS_sACC_BD	3.753844298377857	1.0238443628596353e-07	1.6381509805754165e-06	EA Bias	DEG
Dentate Gyrus	BS_Amyg_BD	3.7881438289601554	0.024900884316945295	0.05691630701016067	EA Bias	DEG
Dentate Gyrus	CMC_DLPFC_SZ	2.05939649999589	0.03601883450091509	0.07436146477608276	EA Bias	DEG
Dentate Gyrus	PSY_SZ	2.138387778319519	3.938031881106475e-09	8.401134679693813e-08	EA Bias	DEG
Dentate Gyrus	PSY_ASD	2.970700493073612	8.623343550177996e-10	2.7594699360569587e-08	EA Bias	DEG
Dentate Gyrus	PSY_BD	3.917649070151777	3.2427321563127963e-12	2.0753485800401897e-10	EA Bias	DEG
Dentate Gyrus	Parkinsons	2.1676384839650145	0.12105821481030853	0.1844696606633273	EA Bias	DEG
Dentate Gyrus	MAYO_AD	1.2330317978513798	0.2523918079589763	0.3365224106119684	EA Bias	DEG
Dentate Gyrus	ROSMAP_AD	1.5648532969418771	0.33329852953261696	0.4092222403400288	EA Bias	DEG
Dentate Gyrus	MSBB_MD36_AD	2.1556751685143576	1.9280491609551534e-05	0.00011217740572829984	EA Bias	DEG
Dentate Gyrus	MSBB_MD44_AD	3.877861656493596	0.00045624351812006774	0.0019466390106456224	EA Bias	DEG
Dentate Gyrus	MSBB_MD22_AD	2.2544117647058823	0.04223059495077536	0.08190175990453402	EA Bias	DEG
Dentate Gyrus	MSBB_MD10_AD	2.323686109533095	0.05115128011107991	0.0935337693459747	EA Bias	DEG
DLPFC	BS_Caudate_SZ	1.4195259781882044	0.050758705390292244	0.0935337693459747	EA Bias	DEG
DLPFC	BS_DLPFC_SZ	3.0588556271314893	0.006370921292035749	0.018533589213194906	EA Bias	DEG
DLPFC	BS_Hippocampus_SZ	1.9609206054989188	0.4059597578660453	0.4639540089897661	EA Bias	DEG
DLPFC	BS_sACC_BD	1.9196276091081594	0.031079063443097014	0.0663020020119403	EA Bias	DEG
DLPFC	BS_Amyg_BD	1.9145770392749244	0.28644270206133277	0.37412924350867954	EA Bias	DEG
DLPFC	CMC_DLPFC_SZ	1.6997499470226742	0.15586396078885228	0.22671121569287606	EA Bias	DEG
DLPFC	PSY_SZ	2.0024281615622024	1.8595538186608217e-07	2.3802288878858516e-06	EA Bias	DEG
DLPFC	PSY_ASD	1.6727209645242431	0.012994686489781339	0.03198692059023099	EA Bias	DEG
DLPFC	PSY_BD	2.7783875530410183	2.711002421686091e-06	1.927823944310109e-05	EA Bias	DEG
DLPFC	Parkinsons	2.261129983908457	0.10847542490058389	0.1693274925277407	EA Bias	DEG
DLPFC	MAYO_AD	1.252363204234862	0.2062854896780053	0.280899390199837	EA Bias	DEG
DLPFC	ROSMAP_AD	1.214045214045214	0.7406804743856386	0.7958408103361077	EA Bias	DEG
DLPFC	MSBB_MD36_AD	1.8480757293606456	0.000997271044926385	0.003754432169134626	EA Bias	DEG
DLPFC	MSBB_MD44_AD	1.5414458309786012	0.33888716778158634	0.4092222403400288	EA Bias	DEG
DLPFC	MSBB_MD22_AD	2.7087672153174336	0.012329400939321555	0.031563266404663184	EA Bias	DEG
DLPFC	MSBB_MD10_AD	1.5897443973731042	0.3276751916732135	0.4092222403400288	EA Bias	DEG
Hippocampus	BS_Caudate_SZ	1.041885663459206	0.8443299630890844	0.8715664135113129	EA Bias	DEG
Hippocampus	BS_DLPFC_SZ	3.524131723517179	0.0016073136512242112	0.005636337289560489	EA Bias	DEG
Hippocampus	BS_Hippocampus_SZ	1.9912961656080923	0.4012660371986952	0.4639540089897661	EA Bias	DEG
Hippocampus	BS_sACC_BD	3.4581976934918113	1.960097185421213e-06	1.5680777483369703e-05	EA Bias	DEG
Hippocampus	BS_Amyg_BD	2.9626095423563776	0.08709684832322281	0.15065400791043945	EA Bias	DEG
Hippocampus	CMC_DLPFC_SZ	2.4168769716088327	0.008394062109583156	0.02335739021797052	EA Bias	DEG
Hippocampus	PSY_SZ	1.853781872133401	5.773098764055129e-06	3.6947832089952825e-05	EA Bias	DEG
Hippocampus	PSY_ASD	1.3688475212324709	0.1679992506553374	0.2389322675987021	EA Bias	DEG
Hippocampus	PSY_BD	2.9330682877593635	6.703262649862923e-07	7.1501468265204515e-06	EA Bias	DEG
Hippocampus	Parkinsons	2.296477850399419	0.10413331136353442	0.1693274925277407	EA Bias	DEG
Hippocampus	MAYO_AD	1.6940005206448376	0.0016732876328382701	0.005636337289560489	EA Bias	DEG
Hippocampus	ROSMAP_AD	1.657867086945101	0.3140559673477294	0.40199163820509365	EA Bias	DEG
Hippocampus	MSBB_MD36_AD	2.1181438350075563	5.259224957382581e-05	0.000258915690209604	EA Bias	DEG
Hippocampus	MSBB_MD44_AD	1.1646461538461539	0.7463932065673567	0.7958408103361077	EA Bias	DEG
Hippocampus	MSBB_MD22_AD	2.751637554585153	0.011337916349318534	0.030234443598182757	EA Bias	DEG
Hippocampus	MSBB_MD10_AD	2.462651621085493	0.04086114871631131	0.08172229743262262	EA Bias	DEG
Caudate	BS_Caudate_SZ	0.7399549643775609	0.14901669023873154	0.3076473604928651	AA Bias	DEG
Caudate	BS_DLPFC_SZ	0.6238689044797581	0.7746444676197746	0.9180971468086218	AA Bias	DEG
Caudate	BS_Hippocampus_SZ	0.0	1.0	1.0	AA Bias	DEG
Caudate	BS_sACC_BD	1.2400918438654287	0.47239047148292007	0.6718442261090419	AA Bias	DEG
Caudate	BS_Amyg_BD	2.4949860266315964	0.12661555307487274	0.2794274274755812	AA Bias	DEG
Caudate	CMC_DLPFC_SZ	2.2238191193030286	0.014527645351510302	0.06641209303547567	AA Bias	DEG
Caudate	PSY_SZ	1.8883635408458104	3.3053641612531176e-07	7.051443544006651e-06	AA Bias	DEG
Caudate	PSY_ASD	1.5258247730050454	0.03759980404021598	0.10794015953401957	AA Bias	DEG
Caudate	PSY_BD	2.086686564150455	0.0007390312852690233	0.006756857465316784	AA Bias	DEG
Caudate	Parkinsons	0.947510700608245	1.0	1.0	AA Bias	DEG
Caudate	MAYO_AD	1.2548776519084444	0.1759342856175704	0.3213757874106958	AA Bias	DEG
Caudate	ROSMAP_AD	0.6867739296427597	1.0	1.0	AA Bias	DEG
Caudate	MSBB_MD36_AD	2.574206117872246	6.089895753287202e-09	2.8484448512035874e-07	AA Bias	DEG
Caudate	MSBB_MD44_AD	3.0821750129205996	0.003803064542591538	0.027044014525095382	AA Bias	DEG
Caudate	MSBB_MD22_AD	3.5672340425531917	0.0002735523021741911	0.0029178912231913718	AA Bias	DEG
Caudate	MSBB_MD10_AD	2.0709136262712096	0.07833601680577314	0.1928271182911339	AA Bias	DEG
Dentate Gyrus	BS_Caudate_SZ	1.7446231225836895	0.001732033112980002	0.013856264903840017	AA Bias	DEG
Dentate Gyrus	BS_DLPFC_SZ	1.256349469496021	0.5198616701854613	0.7195448628417462	AA Bias	DEG
Dentate Gyrus	BS_Hippocampus_SZ	2.233052335792062	0.3673823941772365	0.5343743915305258	AA Bias	DEG
Dentate Gyrus	BS_sACC_BD	0.8091251298026999	0.8370752196315436	0.9398739308143648	AA Bias	DEG
Dentate Gyrus	BS_Amyg_BD	0.0	1.0	1.0	AA Bias	DEG
Dentate Gyrus	CMC_DLPFC_SZ	0.7056128185907047	0.8033926625601409	0.9181630429258753	AA Bias	DEG
Dentate Gyrus	PSY_SZ	2.239234306651213	8.90139016001121e-09	2.8484448512035874e-07	AA Bias	DEG
Dentate Gyrus	PSY_ASD	2.3257353799463054	5.1016661084792825e-05	0.0008162665773566852	AA Bias	DEG
Dentate Gyrus	PSY_BD	1.5970566856038302	0.07718285985105128	0.1928271182911339	AA Bias	DEG
Dentate Gyrus	Parkinsons	5.387985114300903	0.0002078613078907666	0.0026606247410018123	AA Bias	DEG
Dentate Gyrus	MAYO_AD	1.5438351611831174	0.016898310520579017	0.07209945822113714	AA Bias	DEG
Dentate Gyrus	ROSMAP_AD	2.8417444082274925	0.022914015890095854	0.08147205649811859	AA Bias	DEG
Dentate Gyrus	MSBB_MD36_AD	1.6814872607124225	0.011067008582621291	0.05573196234031476	AA Bias	DEG
Dentate Gyrus	MSBB_MD44_AD	0.42837040553370404	0.7330029758649204	0.8994597939240759	AA Bias	DEG
Dentate Gyrus	MSBB_MD22_AD	1.8885446599616857	0.2000486905682507	0.34344908146635095	AA Bias	DEG
Dentate Gyrus	MSBB_MD10_AD	3.256404122193596	0.007539287304265389	0.04523946871544816	AA Bias	DEG
DLPFC	BS_Caudate_SZ	0.8606417667111309	0.5994247960039072	0.7992330613385429	AA Bias	DEG
DLPFC	BS_DLPFC_SZ	0.0	0.18077388041851639	0.3213757874106958	AA Bias	DEG
DLPFC	BS_Hippocampus_SZ	0.0	1.0	1.0	AA Bias	DEG
DLPFC	BS_sACC_BD	1.0008828250401285	1.0	1.0	AA Bias	DEG
DLPFC	BS_Amyg_BD	2.23556338028169	0.23105316725775085	0.3696850676124014	AA Bias	DEG
DLPFC	CMC_DLPFC_SZ	1.2207572487019427	0.612099043920965	0.7994763022641176	AA Bias	DEG
DLPFC	PSY_SZ	1.3684895597939075	0.03827718577122671	0.10794015953401957	AA Bias	DEG
DLPFC	PSY_ASD	1.4386891757696127	0.10937882292094345	0.2500087381050136	AA Bias	DEG
DLPFC	PSY_BD	1.8618940248027058	0.02166020155204776	0.08147205649811859	AA Bias	DEG
DLPFC	Parkinsons	1.9606664775218592	0.20392289212064588	0.34344908146635095	AA Bias	DEG
DLPFC	MAYO_AD	1.4908235294117647	0.03531859799870023	0.10794015953401957	AA Bias	DEG
DLPFC	ROSMAP_AD	1.9079523162818772	0.16578662303141556	0.3213757874106958	AA Bias	DEG
DLPFC	MSBB_MD36_AD	1.534123795073826	0.038790994832538284	0.10794015953401957	AA Bias	DEG
DLPFC	MSBB_MD44_AD	3.236047107014849	0.0077755336854676525	0.04523946871544816	AA Bias	DEG
DLPFC	MSBB_MD22_AD	1.5367241956594526	0.3400191190367787	0.5060749678686939	AA Bias	DEG
DLPFC	MSBB_MD10_AD	2.3431939501779357	0.06927175438644195	0.1847246783638452	AA Bias	DEG
Hippocampus	BS_Caudate_SZ	0.7567841884005294	0.28680476902061175	0.43703583850759886	AA Bias	DEG
Hippocampus	BS_DLPFC_SZ	0.434485129791989	0.7318938707068453	0.8994597939240759	AA Bias	DEG
Hippocampus	BS_Hippocampus_SZ	0.0	1.0	1.0	AA Bias	DEG
Hippocampus	BS_sACC_BD	1.2091759379132252	0.5284157586494074	0.7195448628417462	AA Bias	DEG
Hippocampus	BS_Amyg_BD	2.3010869565217393	0.22167913767961542	0.3637811490127022	AA Bias	DEG
Hippocampus	CMC_DLPFC_SZ	0.7445454545454545	0.8021444567778458	0.9181630429258753	AA Bias	DEG
Hippocampus	PSY_SZ	1.483245875289557	0.011320554850376436	0.05573196234031476	AA Bias	DEG
Hippocampus	PSY_ASD	1.483964775752611	0.10198060162285569	0.24173179643936163	AA Bias	DEG
Hippocampus	PSY_BD	1.8040972006489249	0.030589110015789463	0.10303700215844872	AA Bias	DEG
Hippocampus	Parkinsons	3.4390177723511055	0.018125738703610075	0.0725029548144403	AA Bias	DEG
Hippocampus	MAYO_AD	1.2491397849462365	0.24300694189748506	0.37932790930339133	AA Bias	DEG
Hippocampus	ROSMAP_AD	1.964280167727908	0.15447343092345978	0.30894686184691955	AA Bias	DEG
Hippocampus	MSBB_MD36_AD	1.3882316434583608	0.13740558166890357	0.29313190756032764	AA Bias	DEG
Hippocampus	MSBB_MD44_AD	1.8548949125187983	0.17729625662490028	0.3213757874106958	AA Bias	DEG
Hippocampus	MSBB_MD22_AD	1.1771561771561772	0.7448651418433754	0.8994597939240759	AA Bias	DEG
Hippocampus	MSBB_MD10_AD	0.46577764679879174	0.7280167639322368	0.8994597939240759	AA Bias	DEG
