Tissue	Dataset	OR	P-value	FDR	Direction	Method
Caudate	BS_Caudate_SZ	1.281443448978319	0.04130112551993012	0.06447004959208605	All	DEG
Caudate	BS_DLPFC_SZ	1.5127791848952337	0.2113725078926289	0.2552422736816651	All	DEG
Caudate	BS_Hippocampus_SZ	0.866833211894105	1.0	1.0	All	DEG
Caudate	BS_sACC_BD	1.5919189294530336	0.035853526982604585	0.05736564317216734	All	DEG
Caudate	BS_Amyg_BD	2.683134949089345	0.0306291217781578	0.053073540353193366	All	DEG
Caudate	CMC_DLPFC_SZ	2.0588595271210015	0.004017634150927256	0.011687662984515653	All	DEG
Caudate	PSY_SZ	1.9093842430760957	1.3909057395885094e-12	2.96726557778882e-11	All	DEG
Caudate	PSY_ASD	1.6527405783699238	0.0005526453913627016	0.002080547355718406	All	DEG
Caudate	PSY_BD	2.188548564555699	1.2187907155845133e-06	7.800260579740885e-06	All	DEG
Caudate	Parkinsons	2.3393552698906652	0.019962693799604365	0.03992538759920873	All	DEG
Caudate	MAYO_AD	1.4816563974089874	0.0009816166478023615	0.0034901925255195077	All	DEG
Caudate	ROSMAP_AD	0.7179116558741906	0.6657645241465786	0.6763322150060481	All	DEG
Caudate	MSBB_MD36_AD	1.786492065925568	8.276767392942223e-06	4.815573755893657e-05	All	DEG
Caudate	MSBB_MD44_AD	2.1429434439905646	0.017371634858725445	0.03906803485996047	All	DEG
Caudate	MSBB_MD22_AD	1.9796006091570053	0.027877512824080894	0.053073540353193366	All	DEG
Caudate	MSBB_MD10_AD	2.01480891484874	0.030683140516689914	0.053073540353193366	All	DEG
Dentate Gyrus	BS_Caudate_SZ	1.4951424659320598	0.001442850510364777	0.004617121633167286	All	DEG
Dentate Gyrus	BS_DLPFC_SZ	1.759583248340682	0.11268811362094212	0.15025081816125616	All	DEG
Dentate Gyrus	BS_Hippocampus_SZ	2.0692954957927734	0.26186989507235664	0.2940293558707162	All	DEG
Dentate Gyrus	BS_sACC_BD	2.373384763741562	5.6999645382797186e-05	0.0002605698074642157	All	DEG
Dentate Gyrus	BS_Amyg_BD	2.019351717464925	0.14709485050441592	0.18828140864565238	All	DEG
Dentate Gyrus	CMC_DLPFC_SZ	1.4342127538246328	0.23482700572862975	0.2694753852135698	All	DEG
Dentate Gyrus	PSY_SZ	2.2124209660441543	8.530323888094701e-17	5.459407288380609e-15	All	DEG
Dentate Gyrus	PSY_ASD	2.7214119701942443	2.1069786692119957e-13	6.742331741478386e-12	All	DEG
Dentate Gyrus	PSY_BD	2.8561488495883998	5.120629806076523e-11	8.193007689722437e-10	All	DEG
Dentate Gyrus	Parkinsons	3.7311902866242037	0.00020188993891181228	0.0008075597556472491	All	DEG
Dentate Gyrus	MAYO_AD	1.3796279573776413	0.013385528913405376	0.03294899424838246	All	DEG
Dentate Gyrus	ROSMAP_AD	2.1751264608407466	0.030050109661380366	0.053073540353193366	All	DEG
Dentate Gyrus	MSBB_MD36_AD	1.955980801091949	7.318004143709716e-07	5.203914057749131e-06	All	DEG
Dentate Gyrus	MSBB_MD44_AD	2.2707174085850554	0.018923579385293352	0.03906803485996047	All	DEG
Dentate Gyrus	MSBB_MD22_AD	2.1143949044585986	0.018433892110865283	0.03906803485996047	All	DEG
Dentate Gyrus	MSBB_MD10_AD	2.8100859857152765	0.0013619561599389194	0.004587641801899518	All	DEG
DLPFC	BS_Caudate_SZ	1.1556347340283304	0.2817169964471982	0.3108601340107015	All	DEG
DLPFC	BS_DLPFC_SZ	1.6086041617956512	0.1734412226928821	0.21346612023739334	All	DEG
DLPFC	BS_Hippocampus_SZ	1.0415733134179737	0.6222741376878206	0.6423474969680728	All	DEG
DLPFC	BS_sACC_BD	1.4965387076135637	0.08829651092299026	0.12284731954502993	All	DEG
DLPFC	BS_Amyg_BD	2.0900562851782363	0.135005451724708	0.17633365123227165	All	DEG
DLPFC	CMC_DLPFC_SZ	1.4851715618489223	0.16844145591258838	0.2113775133020717	All	DEG
DLPFC	PSY_SZ	1.7079457680439898	1.4922918878906181e-07	1.9101336164999914e-06	All	DEG
DLPFC	PSY_ASD	1.5741086587436333	0.004444219584090831	0.012366524060078835	All	DEG
DLPFC	PSY_BD	2.382211396003245	3.5471193955918635e-07	2.8376955164734908e-06	All	DEG
DLPFC	Parkinsons	2.150842793257654	0.052582075395324425	0.07826169361164566	All	DEG
DLPFC	MAYO_AD	1.367240282966378	0.017800089270542135	0.03906803485996047	All	DEG
DLPFC	ROSMAP_AD	1.5430665960077725	0.23386214146913548	0.2694753852135698	All	DEG
DLPFC	MSBB_MD36_AD	1.715096915096915	0.0001638235943531181	0.0006989806692399706	All	DEG
DLPFC	MSBB_MD44_AD	2.351125616776316	0.010333112079167912	0.026452766922669856	All	DEG
DLPFC	MSBB_MD22_AD	2.1893904448105435	0.01561621230647314	0.03701620694867707	All	DEG
DLPFC	MSBB_MD10_AD	1.9584495988838506	0.05737189994387765	0.08345003628200386	All	DEG
Hippocampus	BS_Caudate_SZ	0.9079807442144574	0.5622790880204824	0.5997643605551812	All	DEG
Hippocampus	BS_DLPFC_SZ	2.0831246452302246	0.034731754495551465	0.056995699685007534	All	DEG
Hippocampus	BS_Hippocampus_SZ	1.0645051917779191	0.6143766542541773	0.6423474969680728	All	DEG
Hippocampus	BS_sACC_BD	2.4239859995183943	3.9940653569875724e-05	0.0002130168190393372	All	DEG
Hippocampus	BS_Amyg_BD	2.709661386866046	0.04412980856642364	0.06724542257740744	All	DEG
Hippocampus	CMC_DLPFC_SZ	1.642753047164812	0.08112375091174703	0.11537600129670689	All	DEG
Hippocampus	PSY_SZ	1.6910795078074567	2.933769951536045e-07	2.6823039556900983e-06	All	DEG
Hippocampus	PSY_ASD	1.4286009905600012	0.0331718533861267	0.05586838465031865	All	DEG
Hippocampus	PSY_BD	2.4390158216333546	2.441230476137604e-07	2.603979174546778e-06	All	DEG
Hippocampus	Parkinsons	2.879857301776056	0.005982725409379705	0.015953934425012545	All	DEG
Hippocampus	MAYO_AD	1.4932986337020169	0.002273126054980073	0.006927622262796413	All	DEG
Hippocampus	ROSMAP_AD	1.815617274974553	0.09489120171974015	0.12921355127794404	All	DEG
Hippocampus	MSBB_MD36_AD	1.7891635129722805	4.7522655048670244e-05	0.00023395768639345352	All	DEG
Hippocampus	MSBB_MD44_AD	1.488194610064393	0.3437071643673819	0.37283489016122784	All	DEG
Hippocampus	MSBB_MD22_AD	2.0393396296571726	0.02873856327390174	0.053073540353193366	All	DEG
Hippocampus	MSBB_MD10_AD	1.535559265442404	0.23579096206187355	0.2694753852135698	All	DEG
Caudate	BS_Caudate_SZ	1.9382604626286937	3.802875467290536e-05	0.00020282002492216192	EA Bias	DEG
Caudate	BS_DLPFC_SZ	2.506990622335891	0.026440465082535877	0.0583513712166309	EA Bias	DEG
Caudate	BS_Hippocampus_SZ	1.8533859303090072	0.4234709104423873	0.4672782460053929	EA Bias	DEG
Caudate	BS_sACC_BD	1.9595023286161046	0.022010366961772353	0.052172721687164095	EA Bias	DEG
