Tissue	Comparison	OR	P-value	FDR
Caudate	BS_Caudate_DEG	1.6988941398073338	2.1319451513805898e-14	1.0078286170162788e-13
Caudate	BS_DLPFC_DEG	1.3337668129752454	0.2120088724961077	0.2624871754713714
Caudate	BS_Hippocampus_DEG	1.1809396123121614	0.774791658923139	0.7899836522353574
Caudate	CMC_DLPFC_DEG	1.0793473567705958	0.6413900961396186	0.6806588775359218
Caudate	PSY_SZ_DEG	1.716819274576004	2.615948169843802e-22	1.943275783312539e-21
Caudate	PSY_ASD_DEG	1.534845343514794	1.6987172629700644e-06	3.840578159758406e-06
Caudate	PSY_BD_DEG	2.5418024484763078	1.5905054430014082e-22	1.3784380506012203e-21
Caudate	BS_Caudate_TWAS	3.233853410740203	1.1447959816140951e-22	1.190587820878659e-21
Caudate	BS_DLPFC_TWAS	2.219857413300036	1.5798571598536034e-05	3.159714319707207e-05
Caudate	BS_Hippocampus_TWAS	2.975764134855044	1.0818840874775508e-06	2.5571805704014838e-06
Caudate	PSY_SZ_TWAS	2.4971188548206107	0.00013801164500268332	0.0002474691565565356
Caudate	PSY_ASD_TWAS	3.8395007981425047	0.1295458798970094	0.16840964386611224
Caudate	PSY_BD_TWAS	0.0	0.6210309000499488	0.6727834750541111
Dentate Gyrus	BS_Caudate_DEG	1.8719622007223684	7.455550541996959e-07	1.846136324684961e-06
Dentate Gyrus	BS_DLPFC_DEG	2.740308747855918	0.0024038778219491966	0.0037879286891320677
Dentate Gyrus	BS_Hippocampus_DEG	2.3137416197096203	0.22320629341874942	0.269923889715697
Dentate Gyrus	CMC_DLPFC_DEG	2.5640410563948794	0.0002624396960726504	0.0004548954731925941
Dentate Gyrus	PSY_SZ_DEG	1.8401206051795618	2.776508125604916e-09	9.62522816876371e-09
Dentate Gyrus	PSY_ASD_DEG	1.4413143011042284	0.029035146158556804	0.03973230526960405
Dentate Gyrus	PSY_BD_DEG	2.681025317950939	6.631775684769355e-09	2.0302451780883658e-08
Dentate Gyrus	BS_Caudate_TWAS	1.9528675016479895	0.005459209875568734	0.008349379809693358
Dentate Gyrus	BS_DLPFC_TWAS	3.3521008403361345	3.696628703853316e-05	7.119433059273051e-05
Dentate Gyrus	BS_Hippocampus_TWAS	3.373781148429036	0.001296023110719198	0.0021060375549186968
Dentate Gyrus	PSY_SZ_TWAS	2.1152990001886436	0.07319886330977714	0.09759848441303619
Dentate Gyrus	PSY_ASD_TWAS	6.7727272727272725	0.15400905552988137	0.19532855823302028
Dentate Gyrus	PSY_BD_TWAS	3.646076146076146	0.253763309870494	0.2999020934833111
DLPFC	BS_Caudate_DEG	1.8084402606227765	4.082583537582435e-17	2.358826043936518e-16
DLPFC	BS_DLPFC_DEG	2.5764513281602826	1.977576757021977e-06	4.284749640214283e-06
DLPFC	BS_Hippocampus_DEG	0.6016260162601627	0.7695578359731128	0.7899836522353574
DLPFC	CMC_DLPFC_DEG	2.4137942914233546	6.637340005288888e-09	2.0302451780883658e-08
DLPFC	PSY_SZ_DEG	1.7863103638265152	1.870677412149064e-24	3.2425075143917105e-23
DLPFC	PSY_ASD_DEG	1.826854564829846	9.921908350876906e-12	4.2994936187133255e-11
DLPFC	PSY_BD_DEG	2.5955877298926757	1.0860642316396488e-22	1.190587820878659e-21
DLPFC	BS_Caudate_TWAS	2.7887774454497305	5.463671068759386e-16	2.8411089557548806e-15
DLPFC	BS_DLPFC_TWAS	2.955952444946156	7.989983658346602e-10	2.9677082159573092e-09
DLPFC	BS_Hippocampus_TWAS	2.9356817686653596	2.707515112467341e-06	5.6316314339320695e-06
DLPFC	PSY_SZ_TWAS	2.4205861085286102	0.000536209641914425	0.0008994484315983903
DLPFC	PSY_ASD_TWAS	7.413469577333952	0.017685918905248316	0.02485588602899763
DLPFC	PSY_BD_TWAS	4.943680297397769	0.017134416481135888	0.02474971269497406
Hippocampus	BS_Caudate_DEG	1.435350852669835	4.897906134118656e-07	1.2734555948708505e-06
Hippocampus	BS_DLPFC_DEG	2.237818037255793	5.178426406994338e-05	9.617077612989485e-05
Hippocampus	BS_Hippocampus_DEG	1.5093013689238293	0.390670908239335	0.44162798322707436
Hippocampus	CMC_DLPFC_DEG	0.9704541254790721	1.0	1.0
Hippocampus	PSY_SZ_DEG	2.00804305063605	7.157512208694603e-38	3.721906348521193e-36
Hippocampus	PSY_ASD_DEG	1.595013668831585	1.297963001005711e-07	3.5523197922261563e-07
Hippocampus	PSY_BD_DEG	2.646557327356299	5.9501809075503145e-25	1.5470470359630816e-23
Hippocampus	BS_Caudate_TWAS	3.0000158634474445	1.6609389315535e-19	1.079610305509775e-18
Hippocampus	BS_DLPFC_TWAS	2.7410924678710495	7.954617605855489e-09	2.2980006416915857e-08
Hippocampus	BS_Hippocampus_TWAS	4.148242630385488	1.140333679726612e-11	4.561334718906448e-11
Hippocampus	PSY_SZ_TWAS	2.015139921294272	0.007216974935891978	0.010722362761896653
Hippocampus	PSY_ASD_TWAS	1.6377484673973621	0.4879035252156428	0.5398081555577324
Hippocampus	PSY_BD_TWAS	1.9111737496386239	0.31126300622763964	0.35968169608527245
