Modules	Beta	Pvalue	FDR	Tissue
MEblack	0.0179208218827116	0.863239092704521	0.999692389276747	DLPFC
MEblue	-0.0341510276272781	0.742678040816817	0.999692389276747	DLPFC
MEbrown	0.0045856066452117	0.964845716677623	0.999692389276747	DLPFC
MEcyan	-0.0292844518878009	0.778321188361353	0.999692389276747	DLPFC
MEdarkgreen	0.0245665022545861	0.81332189055521	0.999692389276747	DLPFC
MEdarkgrey	-0.0738791302084946	0.477190272389353	0.999692389276747	DLPFC
MEdarkmagenta	0.0330755870446065	0.750510860874289	0.999692389276747	DLPFC
MEdarkolivegreen	0.035779479399477	0.73086758836963	0.999692389276747	DLPFC
MEdarkorange	4.01126383917372e-05	0.999692389276747	0.999692389276747	DLPFC
MEdarkred	0.0979163975583849	0.34574919663675	0.999692389276747	DLPFC
MEdarkturquoise	-0.0556527975484847	0.592499911966998	0.999692389276747	DLPFC
MEgreen	-0.0158747055001594	0.878726836909983	0.999692389276747	DLPFC
MEgreenyellow	0.051110623920129	0.623081419961024	0.999692389276747	DLPFC
MEgrey	-0.0141184253756215	0.892057585550035	0.999692389276747	DLPFC
MEgrey60	0.0182535005754238	0.860725672692178	0.999692389276747	DLPFC
MElightcyan	-0.0484808052579112	0.641090043017754	0.999692389276747	DLPFC
MElightgreen	0.0292851001067275	0.778316408102515	0.999692389276747	DLPFC
MElightyellow	0.0476724675921653	0.646668242108004	0.999692389276747	DLPFC
MEmagenta	-0.00618739473617932	0.952578488352936	0.999692389276747	DLPFC
MEmidnightblue	0.00138199642319405	0.989402228206328	0.999692389276747	DLPFC
MEorange	-0.043801877204865	0.673646465197485	0.999692389276747	DLPFC
MEpaleturquoise	-0.041367309117951	0.690833183075107	0.999692389276747	DLPFC
MEpink	0.0983342436496094	0.3436870394928	0.999692389276747	DLPFC
MEpurple	0.00230538700734316	0.982322167750088	0.999692389276747	DLPFC
MEred	0.0166282958548496	0.873017004459421	0.999692389276747	DLPFC
MEroyalblue	0.0569111086200716	0.584149789693879	0.999692389276747	DLPFC
MEsaddlebrown	-0.16203544887065	0.117482508531478	0.999692389276747	DLPFC
MEsalmon	0.0460509563701678	0.657917061009387	0.999692389276747	DLPFC
MEskyblue	-0.036863160243133	0.72304268883343	0.999692389276747	DLPFC
MEsteelblue	-0.162574378889348	0.116254795412034	0.999692389276747	DLPFC
MEtan	-0.0110816692285341	0.915176672686558	0.999692389276747	DLPFC
MEturquoise	-0.00194085567828152	0.985117063530407	0.999692389276747	DLPFC
MEviolet	-0.0564914134257974	0.586928862186043	0.999692389276747	DLPFC
MEwhite	-0.0351946161228297	0.735102268506128	0.999692389276747	DLPFC
MEyellow	-0.0291767916981685	0.779115237959118	0.999692389276747	DLPFC
