"","MEblack","MEblue","MEbrown","MEgreen","MEgreenyellow","MEgrey","MEmagenta","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"R12872",-0.0946668453846344,0.0815639098055837,0.0681319495337824,-0.064702670462528,0.0461361849204507,0.00276811958838009,-0.0330753639178574,0.0589814991893809,0.102854357257299,0.0536062875724358,0.111328269392194,0.0492364474209972,-0.0751353449587468,0.108615075644603
"R12873",0.0386989245798425,-0.0199245684154006,-0.0864093179141751,0.00215269309531163,-0.0459368865302182,-0.0568669785093821,0.103862643270047,-0.00477036278842313,-0.136389823395379,0.0271675348899861,-0.024337641486573,-0.0971052023268878,0.0225809038008219,-0.0318942204025086
"R12874",-0.233549306540937,-0.0925170702656869,0.21246332142944,-0.0327518886058337,0.0565320789226319,-0.12580604003116,-0.120287100347592,-0.0382181308096886,0.0184962907679813,0.00593527698310312,-0.0217436785205335,-0.0545487905717399,-0.0434663251899463,-0.0198212758692493
"R12890",0.0884226522826667,-0.0140375450090213,0.200962908102629,-0.0533180199464901,-0.102999523913434,0.0968407224930996,-0.0195680458247873,0.0606965497914659,0.0541814923857009,0.0633261916789624,-0.0957809208606274,-0.010329499558959,0.147318100871142,-0.0793449139212153
"R12891",0.0872196211049659,-0.115089441834048,0.107613523550673,-0.0870139897722009,-0.14257309492414,0.0939896372117833,-0.0364845186867873,0.0331555144102295,0.0144270149835248,0.0134333605768876,0.005650630307558,0.00215739457370263,0.116037820338007,-0.106559472916689
"R12892",-0.00818350458928141,0.108909384865593,-0.0209016964734877,0.164674775687464,0.146622870129326,-0.138563398797025,0.173921666273868,-0.0253751554177819,0.0302771618309419,0.0791825670720644,0.0926640201554548,0.0632239758253586,-0.124611237462724,0.0932806579039523
"R12893",-0.0286451379552769,0.159913942319534,-0.115479268686422,-0.0188579679320963,0.0578479396916255,-0.0776011989129724,-0.0205555298309195,0.0152632453019663,-0.110141438423437,-0.00958220439473097,-0.00301052134944589,0.0222618331770031,-0.0963997459118499,0.1082413003428
"R12894",-0.0809291844105701,-0.0106062792504518,0.0390585049980742,-0.0212592379542578,0.013667262729008,0.0388149034988787,-0.118505708230048,-0.104345989141575,0.182940611808379,0.0345209870863226,0.105786257623844,0.223599896364829,-0.0565809118706032,0.0914071954397336
"R12926",-0.0187182030479071,0.182109058056066,0.00114318009311801,-0.0536348492507327,0.277667432903827,-0.216763220137786,0.0289505021649082,0.0689178815887957,-0.0449913349323841,-0.0249337480477904,0.0946055359902118,0.0284895714174494,-0.129958110079889,0.137469794433499
"R12927",-0.0539360698274475,0.1389872117927,-0.132850092586063,-0.0176964207848143,0.088609197543985,-0.124592077623127,-0.0776720035312944,0.0238124207676058,-0.0959569941899334,0.0727242525522411,0.18846909046512,-0.0580726540798647,-0.0927112528155008,0.183109857089328
