Tissue	Upper_Bin	Odds_Ratio	P_value	FDR
Caudate	0	0.25219383902299297	6.662218615017272e-17	6.662218615017272e-16
Caudate	1	0.42537120514436205	9.482905505832514e-09	4.741452752916257e-08
Caudate	2	0.6982633139255382	0.008363980666295182	0.011948543808993118
Caudate	3	0.8861566086724418	0.37868734217229816	0.37868734217229816
Caudate	4	1.2328420579224015	0.08215627581744316	0.09128475090827017
Caudate	5	1.3072153656580672	0.03469274371124278	0.04336592963905347
Caudate	6	1.5045063214134575	0.001440969992866154	0.0024016166547769233
Caudate	7	1.706651592743019	5.771043236238819e-05	0.00014427608090597047
Caudate	8	2.085879272141274	1.0848902209414702e-07	3.6163007364715677e-07
Caudate	9	1.8304422566025942	0.000581528100672651	0.001163056201345302
Dentate.Gyrus	0	0.3513136397202645	6.498794556258403e-11	6.498794556258402e-10
Dentate.Gyrus	1	0.6098922088442137	0.000663635529514473	0.0016590888237861825
Dentate.Gyrus	2	0.8929156553398059	0.44076057872771224	0.6296579696110175
Dentate.Gyrus	3	1.0308880624686456	0.7920723259696005	0.880080362188445
Dentate.Gyrus	4	1.0051427295851265	0.9462230023937173	0.9462230023937173
Dentate.Gyrus	5	0.9166310013717421	0.6175492906836667	0.7719366133545833
Dentate.Gyrus	6	1.162162162162162	0.30018126744396334	0.5003021124066056
Dentate.Gyrus	7	1.4857485649953366	0.005523772615063236	0.011047545230126472
Dentate.Gyrus	8	2.2317655658183266	1.4547690709502333e-08	7.273845354751166e-08
Dentate.Gyrus	9	2.101590978505329	2.976452230439801e-05	9.921507434799337e-05
DLPFC	0	0.25998583502969014	3.556169831679328e-13	3.5561698316793276e-12
DLPFC	1	0.5232640135557145	5.311873104826253e-05	0.00013279682762065633
DLPFC	2	0.6887176595877967	0.016317711826619313	0.027196186377698855
DLPFC	3	0.7776441051880555	0.10575071016603876	0.13218838770754845
DLPFC	4	1.2016361006268395	0.17153453095286048	0.1905939232809561
DLPFC	5	1.191376855806386	0.22331259612479737	0.22331259612479737
DLPFC	6	1.3616762830245976	0.03293558653217324	0.04705083790310463
DLPFC	7	1.6443100995732576	0.0007157425252987384	0.0014314850505974769
DLPFC	8	2.0566244700720406	2.5507612036390073e-06	8.502537345463358e-06
DLPFC	9	2.581625084601192	8.828177239461858e-08	4.414088619730929e-07
Hippocampus	0	0.24640005228648323	7.948752733155124e-14	7.948752733155124e-13
Hippocampus	1	0.5220969554503934	5.3709457208960345e-05	0.00013427364302240086
Hippocampus	2	0.704139712150845	0.02367599609255095	0.03382285156078708
Hippocampus	3	0.6848957453899949	0.01680088851425061	0.028001480857084354
Hippocampus	4	1.2650059677357255	0.08386237949947543	0.08386237949947543
Hippocampus	5	1.3116566600788662	0.05696927939358197	0.06329919932620219
Hippocampus	6	1.3315532895571436	0.04856870742797531	0.06071088428496914
Hippocampus	7	1.5123404910983178	0.006818942823261614	0.013637885646523228
Hippocampus	8	2.220915299398682	1.225259392064089e-07	6.126296960320444e-07
Hippocampus	9	2.509957627118644	2.1933399545544793e-07	7.311133181848264e-07
