Tissue	Upper_Bin	Odds_Ratio	P_value	FDR
Caudate	1	0.8382330832694995	0.0483062818378488	0.28974827278590054
Caudate	2	0.8802518070498981	0.07243706819647514	0.28974827278590054
Caudate	3	0.9142365527750841	0.17935833288816494	0.42625169033269544
Caudate	4	0.9621682425870233	0.5729473562566745	0.6195942375602698
Caudate	5	0.9393785184949588	0.3790289181860114	0.5283450605282584
Caudate	6	0.9085397685538227	0.21312584516634772	0.42625169033269544
Caudate	7	0.9566599411612206	0.6195942375602698	0.6195942375602698
Caudate	8	0.9106591993399779	0.3962587953961938	0.5283450605282584
Dentate.Gyrus	1	0.9330621296343891	0.2881894577350595	0.576378915470119
Dentate.Gyrus	2	0.9158840561338267	0.09483952152049217	0.3793580860819687
Dentate.Gyrus	3	0.8940824229633921	0.02203774839075455	0.1763019871260364
Dentate.Gyrus	4	0.9378320846904075	0.19117432778544813	0.5097982074278616
Dentate.Gyrus	5	0.9716896292528795	0.5826004220521896	0.8417456585571813
Dentate.Gyrus	6	0.9764479202085459	0.6853782579163179	0.8417456585571813
Dentate.Gyrus	7	1.005434025147705	0.9732191130896537	0.9732191130896537
Dentate.Gyrus	8	0.9716698852851365	0.7365274512375336	0.8417456585571813
DLPFC	1	0.8762950097770961	0.08601056852062494	0.5840022333882253
DLPFC	2	0.9300433060361636	0.24137567138847843	0.5840022333882253
DLPFC	3	0.940341984686803	0.29200111669411266	0.5840022333882253
DLPFC	4	1.0037581773310136	0.9540228439977212	0.9686954301620381
DLPFC	5	1.0746644891136756	0.2575365730511373	0.5840022333882253
DLPFC	6	1.0443582042461306	0.5426395225838616	0.8682232361341786
DLPFC	7	1.0069714932855693	0.9686954301620381	0.9686954301620381
DLPFC	8	0.9964858031607501	0.9607965824202167	0.9686954301620381
Hippocampus	1	0.8737230624559204	0.060807841753919394	0.464352217298521
Hippocampus	2	0.911638726785001	0.11608805432463025	0.464352217298521
Hippocampus	3	0.9297034536061506	0.18448631314916153	0.48511397959100117
Hippocampus	4	0.9907124640978042	0.8693216953471294	0.8693216953471294
Hippocampus	5	1.0330505681336835	0.6004248947562787	0.8005665263417049
Hippocampus	6	1.0165425599048015	0.8218443557849292	0.8693216953471294
Hippocampus	7	1.0556960243709221	0.5017092179236534	0.8005665263417049
Hippocampus	8	0.900316516210556	0.24255698979550058	0.48511397959100117
