ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030312	external encapsulating structure	31/503	309/12668	1.99534503947395e-06	0.00043199220104611	0.000411671187091468	A1BG/A2M/ANXA2/SERPING1/C1QB/C1QC/COL1A2/COL4A2/COL5A1/HAPLN1/ECM2/ITGB4/LGALS1/LGALS9/MFGE8/TLR3/COL14A1/WNT7A/DGCR6/HPSE/NTNG1/COL5A3/ADAMTS9/FRAS1/ITIH5/CRISPLD2/NTN5/FGFBP3/OLFML2A/HMCN2/AGRN	31
GO:0031012	extracellular matrix	31/503	309/12668	1.99534503947395e-06	0.00043199220104611	0.000411671187091468	A1BG/A2M/ANXA2/SERPING1/C1QB/C1QC/COL1A2/COL4A2/COL5A1/HAPLN1/ECM2/ITGB4/LGALS1/LGALS9/MFGE8/TLR3/COL14A1/WNT7A/DGCR6/HPSE/NTNG1/COL5A3/ADAMTS9/FRAS1/ITIH5/CRISPLD2/NTN5/FGFBP3/OLFML2A/HMCN2/AGRN	31
GO:0005930	axoneme	17/503	122/12668	6.25346152882896e-06	0.000757212950187742	0.000721593476294141	DNAH8/CFAP61/SPAG8/CFAP46/CFAP43/DRC3/CFAP74/CCDC65/DNAI3/CFAP276/DNAH14/SPATA4/DNAH2/DNAH10/SPAG17/CFAP53/RSPH4A	17
GO:0097014	ciliary plasm	17/503	123/12668	6.99503880081055e-06	0.000757212950187742	0.000721593476294141	DNAH8/CFAP61/SPAG8/CFAP46/CFAP43/DRC3/CFAP74/CCDC65/DNAI3/CFAP276/DNAH14/SPATA4/DNAH2/DNAH10/SPAG17/CFAP53/RSPH4A	17
GO:0062023	collagen-containing extracellular matrix	25/503	242/12668	1.18474388274905e-05	0.00102598820246068	0.000977725477973951	A1BG/A2M/ANXA2/SERPING1/C1QB/C1QC/COL1A2/COL4A2/COL5A1/HAPLN1/ECM2/ITGB4/LGALS1/LGALS9/MFGE8/COL14A1/NTNG1/COL5A3/ADAMTS9/FRAS1/ITIH5/NTN5/FGFBP3/HMCN2/AGRN	25
GO:0009897	external side of plasma membrane	17/503	170/12668	0.000428041113718532	0.030890300373354	0.029437213434678	CD14/CD74/CSF3R/CX3CR1/ENG/B4GALT1/KLRD1/MFGE8/MICB/ABCB1/PTPRC/HYAL2/CRLF1/ABCG2/BTN3A2/LY6G5C/TMC1	17
GO:0005858	axonemal dynein complex	5/503	18/12668	0.000539257879446804	0.0333569516857809	0.0317878328937063	DNAH8/CCDC65/DNAI3/DNAH14/DNAH2	5
GO:0030666	endocytic vesicle membrane	14/503	135/12668	0.000941606172079186	0.0476716845715561	0.0454291974037923	ATP6V0C/CAMK2A/CD74/CSF3R/CYBA/CYBB/LYN/SLC11A1/SMO/TAP2/TLR1/WNT7A/STAB1/HVCN1	14
GO:0098552	side of membrane	26/503	338/12668	0.000990866422965368	0.0476716845715561	0.0454291974037923	CD14/CD74/CSF3R/CX3CR1/ENG/FES/B4GALT1/GNB3/GNG4/KLRD1/LYN/MFGE8/MICB/PALM/ABCB1/PTPRC/HYAL2/CRLF1/ABCG2/BTN3A2/CHMP4A/GNG2/LY6G5C/TMC1/GRAMD2A/STAC2	26
