"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkorange","MEdarkred","MEdarkturquoise","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MEivory","MElightcyan","MElightcyan1","MElightgreen","MElightsteelblue1","MElightyellow","MEmagenta","MEmediumpurple3","MEmidnightblue","MEorange","MEorangered4","MEpaleturquoise","MEpink","MEplum1","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsienna3","MEskyblue","MEskyblue3","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellowgreen"
"R12260",0.0115497107344776,-0.0667858321273627,-0.0586737712086899,0.159021125400594,0.0109965973866014,0.0401681790295957,0.0221822276052765,0.0380283893577425,-0.035309561319054,0.0288293693420296,0.0550798104385622,0.0714489964678577,0.0404913305365072,-0.0888944006402239,0.112092974766124,-0.0906263308999622,0.0171741065236575,-0.0461762849257591,-0.0596904138050315,0.0404878397616378,0.151971923701444,-0.0865975469556308,-0.0468704225875099,-0.046190150733351,0.0347940702656894,0.0146506249465363,-0.123865947669482,-0.0340974839521807,0.0405206678338695,-0.063914621719656,-0.116409379761566,-0.00658267553929326,0.145913139457993,-0.0329005130221089,0.109673403917052,0.185457545375097,-0.110338777904566,0.0670849447573015,0.0651133572784727,0.0111466318030089,0.135880413298162,0.0344166938208887,0.14054517412681,-0.102929941348404
"R12263",0.0660063026298741,0.020902502290214,-0.138362048389341,0.0919956492150038,-0.0871464010297358,0.0170574073966742,-0.0101425951130971,0.15058861925889,-0.055422369408966,-0.0283926541619608,-0.0527002445141435,0.00951032790614348,-0.0231151298776009,-0.0665303960191092,-0.00866549246080439,-0.0360826263069138,0.0217871893365592,0.0551249543289768,-0.0369351214360468,-0.0631997048166985,0.049975282478015,-0.0717205452301453,0.00394683638155782,-0.00712118337845269,0.0400394463133309,0.0157409177177267,0.0134542669248628,0.109792133745767,0.0730837520105693,-0.0477890845997661,-0.0881801301136097,-0.0160409528798364,0.0967035107041399,-0.0680340792716893,-0.0605359468914394,0.0210815787660955,-0.0730436525109669,0.0111710742939136,0.0627346892302186,0.110782936355105,0.0184010581839619,-0.0184734201445065,0.0521432711869668,-0.108641805652136
"R12265",0.00384738510168636,0.134441716916898,-0.104421632168628,-0.0291470128334868,-0.0778951002758674,0.118119401811072,-0.0141177018869014,0.115387493337865,-0.0512416525226363,-0.0088608304006088,-0.041604558445542,0.00865088289209975,0.0243389047759839,-0.0331010042405602,-0.0264231041465286,-0.0483169961444027,-0.00263931085837444,0.0902062062110749,0.0190697170788095,-0.109408685489234,0.0145616863431606,-0.00567391859397939,0.0756578806831472,0.00270587461755064,0.105003396992168,0.133864312637047,-0.163750641252987,0.011313340876225,0.0490975764438825,-0.0688518778309413,-0.0357262876261384,0.046369077609995,0.00971603998404467,-0.0819463089463054,-0.115098739179708,0.0354883320727698,0.0192951458250454,-0.0833385204286566,-0.0949369270852788,0.0213593309057505,0.0453338987514503,-0.0872099292077343,0.032585302962328,-0.0882565472898161
"R12277",-0.152822905388745,-0.00491387459061924,0.190678531044486,-0.0896461434391043,0.192689678356316,-0.169563566344047,0.0763042181548581,-0.227720220631364,0.0893136824478974,0.0200728558728731,0.153944215723601,-0.00556878778822534,-0.0476421061090077,0.248127513194964,0.110447077833235,0.0230075986734276,0.0663374995891697,-0.203751765335907,0.11613568465444,0.0639727532210976,-0.0926511780850491,0.193154548063397,0.0645823851239153,0.0555242397139771,-0.0608010017317593,-0.143529919739069,0.0251741740047517,-0.01061378916036,-0.058256992654621,0.196657596123637,0.132885258562365,0.0364020359786749,-0.010599294057695,0.0413180711176732,0.205628089045607,-0.0526827999345281,0.192199895086853,0.122969533480651,0.0793698469758386,-0.0759738003788091,0.0144284265539789,0.115497675858948,-0.146980301266369,0.139325080580531
"R12278",-0.0237776337658958,0.12569665417225,0.15714091929788,-0.171932885532662,-0.0245535232537384,0.0306153869867146,-0.00313619894957967,-0.0389284969769353,0.0240532081350045,0.0204777865313491,0.0852202994269188,0.0177249086643001,0.0140574623149194,0.114094144765814,0.0824691547561915,0.0593938511009972,-0.103067924362646,0.170421834044724,0.115980134438439,0.0714753949547753,0.122700643078104,0.133233395513207,0.0190753180179755,0.108320409464647,-0.087916264631226,0.0292442208892518,0.0353085169449998,-0.00729605681841369,0.0357722779016964,0.120908708585332,0.17181268506381,0.100347145064117,-0.00344389564969104,0.157780787379,-0.0184342426331752,-0.103312021477749,0.046513553975468,0.00339789612104237,0.0479350764449282,-0.0407066003259512,0.0888983720786101,-0.157880928961089,-0.144129480928903,0.0519165062078381
"R12279",-0.000556064175999516,0.121182282810821,0.0878133081296295,-0.052614027779381,0.0750152303716085,-0.00874795499797753,0.0881891601989488,0.111987161183555,0.0873641775402354,0.0613377181442021,0.0884089740862688,0.148156348678012,0.10357808069202,-0.0165689347459106,0.133796630375265,0.00434568134252951,-0.11621481969576,0.022467757657337,0.112508655597502,0.066723965660464,0.00898770367161659,0.0816349913123192,0.0689154687307557,0.0539417090518502,0.0348674512012018,0.00823001945188294,0.0240910482829298,-0.00974029676369186,0.0807645271725589,0.0286069903808446,0.132936711349109,0.136705023557755,0.0399921067801001,0.0500071108285934,0.0792787956320057,0.144389282937019,-0.0361515414045107,0.0291765665327287,0.0448293641251376,0.0211991124896288,-0.0703829110641275,-0.0978160374328202,0.0840859859633218,0.138862772135333
"R12280",0.0386032445044413,0.0106709047971822,-0.0558439170299094,0.0245001362621239,0.0384778632302305,0.00849492147260482,-0.166051488292648,0.0790107736471486,0.0259773707364763,-0.1978731821854,-0.0325273625236635,-0.0482560547037665,-0.00846616456513577,-0.0455547278720137,0.0573955845297875,-0.132290423832212,-0.0769289363031432,-0.148466376170461,-0.044710816515232,-0.0221241392241992,-0.0908321718899613,0.0605448698948308,-0.207225037323011,-0.0513354109369747,-0.07206345026813,-0.266952481445674,-0.0967212850889957,-0.0928286395412231,-0.169072241826465,-0.10669785256735,-0.00675156326151539,-0.060657962246151,0.0137394023061435,-0.00471788775530067,-0.0571507170756613,0.0778522231035101,-0.111967539764935,0.0474068326772169,-0.0876295942297448,-0.0748012663702755,-0.0237122264701217,0.0107268607306494,0.015512404550249,0.0496664890425654
"R12286",0.0207823122970248,-0.0128560442206741,0.0515062249044429,0.0744084211433826,0.138354949442287,0.0563842450664324,-0.146181033076602,0.102733467807056,0.11525459847985,-0.134812312275374,-0.0768079837448334,0.0319077974793791,0.115466355064048,-0.0498248057625362,0.149816668004641,-0.00568866463830324,-0.0591801342546595,0.0305348939541565,0.0206966799964731,0.137053809529073,0.07664303381269,-0.00976942543753779,-0.133613576403044,-0.087676676972785,0.0318334742867975,0.156366220965661,-0.0936926197407214,0.0090011559946876,-0.105644109667847,-0.10764311487506,0.0400243587864514,0.019069983328834,0.047052652157434,-0.0329373897172379,0.073615395736748,0.103983799878134,0.0694589630962042,0.0128179829358031,0.0311647546127784,-0.0178297425837001,0.130524838235194,-0.0239518784543143,0.0313808061013713,0.0240465606553198
"R12287",-0.024981527638033,0.0190012163833443,-0.313691404984649,0.142889670588035,0.107088775435791,0.0145279442909776,-0.0520378931457718,0.0982697578764954,0.0751449210498867,0.0712086910603101,-0.0758413976285056,0.058841151867751,0.0239086992681087,-0.020092933328431,0.0664674709084679,-0.016550214882176,0.151461997377459,-0.0154159236661085,0.0548655924693578,-0.0286464259567858,-0.111941517425155,-0.125991104371342,0.0550456825638815,-0.0366546846065868,0.105509634155115,0.115696380750865,-0.0635217279310419,0.0583208722721592,-0.0334109538536931,-0.226669257002106,0.043718421020503,0.0431845220531009,0.069232461561154,-0.0405848131852087,-0.024490042409607,0.0426213413387043,0.0467811246636514,0.0615885528745399,0.101632767055502,0.166018698141875,-0.0283486398987829,-0.122811039674621,-0.0014936770539326,-0.00548769428210786
"R12290",-0.00143108870966147,0.121648506753131,0.0889124259011319,-0.0446137045873227,0.0568168592226199,0.00988684475944518,-0.0573312989583046,-0.0472076229077972,0.000337529455900031,-0.0562743915741887,-0.0608866660652597,-0.0641280933802791,0.00670394532845997,0.0345377686242009,0.00919441980083093,0.0512816837287186,0.007929502783532,-0.15968539299475,-0.0232918832773576,0.0485694257222707,-0.00212064374784899,0.101417921704778,-0.00614340460372795,-0.0132945990876312,-0.0326363284612331,-0.0714669994575866,-0.0311821201148162,-0.019568894159984,-0.115720220087934,0.0915750310907215,0.0907783300705267,-0.0121665594138191,-0.136001717863615,0.0410897966112632,0.0315948237694473,-0.00949376734291602,-0.000143919625995061,-0.0473251132478778,-0.0344669608635436,-0.0279134608114608,-0.00842631645991434,-0.0933195406179759,-0.0985126971138195,0.0650885958729663
