Feature,Dir_caudate,Dir_hippo,ensemblID,Symbol,adj.P.Val,logFC,t
ENSG00000130558.19,-1.0,1.0,ENSG00000130558,OLFM1,1.91307009218542e-05,-0.228690679813595,-5.29212341078977
ENSG00000106952.7,-1.0,1.0,ENSG00000106952,TNFSF8,4.34526794430048e-05,-0.412719974055417,-5.0819669020424
ENSG00000196455.7,1.0,-1.0,ENSG00000196455,PIK3R4,0.000243281589592,0.111390768115096,4.61777828923139
ENSG00000138207.13,1.0,-1.0,ENSG00000138207,RBP4,0.001274108841588,0.220448286327657,4.14245837974833
ENSG00000104044.15,-1.0,1.0,ENSG00000104044,OCA2,0.0067567878010358,-0.289518247293212,-3.5859029460786
ENSG00000139719.9,1.0,-1.0,ENSG00000139719,VPS33A,0.0190552602982201,0.0684721460940087,3.16977563808336
ENSG00000123329.17,-1.0,1.0,ENSG00000123329,ARHGAP9,0.0407449509494443,-0.166918276493117,-2.83986838287085
