"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey","MEmagenta","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"R12974",0.00547707187034324,0.00495248799394954,-0.018588512308854,0.00864637483445585,-0.0623132207880318,-0.14338993774612,0.077864366124475,-0.0616561294060743,-0.0536732863651428,0.0155486264183792,-0.107885195649082,-0.0699515403857258,0.0963268893286207,0.166574451189595,-0.0162798444688422
"R12976",-0.18623748768963,0.0336969505446734,0.0782523659895731,-0.171350618291859,-0.113655305699576,-0.0540691292543591,0.108843304037497,0.0404939066948476,0.0688282404405525,-0.0277765176479844,-0.0995296080683461,-0.0216818580936857,0.0576561494752625,-0.0927074272899625,0.137969955091831
"R12986",-0.11918821900001,-0.107221413902687,-0.0699845207741094,-0.0129905043967922,-0.170558582409976,-0.0935129628502,0.0241401743194722,0.0370581067354397,-0.0178830106838367,-0.031608634578346,-0.138980921241267,0.103380034291881,-0.000211379460580086,0.0525079135349564,0.0159050476065991
"R13002",-0.0490988863045346,-0.0384623125060554,0.0936449867556176,0.0443895961180892,0.00313347146564967,0.0822180940743491,-0.090329638285253,0.0861135792961432,0.0960516459134275,0.0596952714802015,0.036261447355256,0.103484901639174,-0.0332009923266796,-0.184957806300299,-0.00103428653328295
"R13010",-0.0045752558024511,0.0460639648260771,0.0466446494122726,-0.0581015638847958,0.119180038471817,0.119016677361026,-0.106709187872775,0.127893132767707,0.145538538814786,0.0642510918604258,0.0377596613821063,0.107124040268544,0.0305256699022143,-0.107084744547512,0.0445671501615097
"R13037",0.10457211293606,-0.0340899546796818,0.15765536052185,0.0180960743360403,0.0405325012126855,0.0131983074191549,-0.0465551501514818,-0.08053182340329,0.143725592159851,0.0403785434312949,0.0620839778150231,-0.0610913699079098,0.1008927961345,-0.0435105928049556,-0.168340301051782
"R13045",-0.0203495825916341,-0.23059566552653,-0.25519051948731,0.101820230776019,0.136865838613842,0.306902742187735,-0.0711127258637785,0.296589834116399,0.00646326074392743,-0.223471975562702,-0.119655294671917,-0.16899713530868,-0.28175467181902,-0.135369209306654,-0.105654184279606
"R13048",-0.0937066094377538,0.0146406889918492,0.109455090142525,-0.0975310791094683,0.0328049091172043,0.0145279759740987,0.0838271535062463,0.0229607095020149,0.0302497946818773,0.104226220643279,-0.045507370019762,-0.00333714312035705,0.00188904520713381,-0.124728672563586,0.0905329732907248
"R13053",-0.0387313150521891,0.0248580080294737,-0.028393154585455,0.0998363541877191,0.0196358841982195,0.0238705655236175,0.027420835589422,0.050573298540291,-0.0111144612596974,-0.0654110501011685,0.0266575406225145,-0.04977852037645,-0.0858517019714439,-0.0205521304420017,0.0931290406419175
"R13054",-0.0553111379356484,-0.0661149123534913,0.137134323773006,-0.151325442136408,-0.135440011859832,-0.0166863921513244,0.0540789393651728,0.0334790055113746,0.143412350278783,-0.00293494852096266,-0.0285251437846657,-0.06574447055722,0.16146482254976,-0.0559350071889194,-0.0524050309554022
"R13055",0.0565363774765908,-0.0379011341500477,-0.0911536339823232,0.114636221109348,-0.02294837284649,-0.16844097348529,-0.0902274486949982,-0.219934189060585,-0.259249009389474,0.0279851528371742,-0.152699921409636,-0.0227265345243154,-0.0814472119973088,0.0203830919638494,-0.139866498540486
"R13056",-0.0631067758985494,0.0148360541570409,-0.0150864763098759,0.094488892380587,-0.0345683033752112,-0.0821990832957142,-0.0102245277419883,-0.0401337255900166,-0.0759031698224168,0.0683706046845868,-0.10719760444176,0.0268715119850039,0.0215970447646832,0.0727948367839749,0.0562731840860428
"R13059",-0.00943390426278606,0.0549508511187733,-0.0246895610994596,0.131312283090467,0.116508449407497,0.0631568044799317,0.00263305673706735,-0.000725735994092533,-0.0278495439584466,0.149138557796137,0.11549559202388,0.0970940777557694,-0.155623720528419,-0.150523407722607,-0.00258360068675849
"R13060",0.0434418389471768,0.0809217360538435,-0.0888860285011271,-0.00376993435451662,0.173444840813875,0.159181135847393,-0.0312066036321535,0.132386802184832,0.0969045172152514,-0.0282526518261461,0.131584239875954,-0.101182355368088,-0.0867283454527115,-0.0457057892803231,0.108261377761455
"R13061",-0.0236567179161143,0.0734899290558338,-0.0267970073461618,0.0734057820795972,0.021721059965044,-0.0701497733379613,-0.00389327898057227,-0.0894390727474114,-0.1202483863334,0.127730167422781,-0.0684752459264872,-0.000570149708054614,-0.00727279909426987,-0.0194474606919761,-0.0267587672085643
"R13064",-0.0327857627504437,0.0171503216589802,-0.0189078239200513,-0.0618751090010773,-0.116915677891708,0.101414690433055,0.0073122839647611,0.101132759588329,0.045743915140886,-0.0809495715142124,0.18612173681162,-0.0522560880715805,-0.0845940961755008,-0.124773396404622,0.0844238826944133
"R13065",0.117054208442798,-0.0236751501521632,-0.0560715096397175,-0.0316478578794632,0.187453554125548,0.15976603709859,-0.148436362668108,0.154626387545142,0.128984719957687,-0.169232156903951,0.0447065328584909,0.0426457750713847,-0.0482924850190789,-0.0358113796866554,-0.0204863984050945
"R13068",0.0371957468230483,-0.00863093757456211,0.0790626364376187,-0.0731635887371251,-0.0275987668629848,-0.0454718507797727,-0.0636255136633648,-0.0391383305892249,-0.0166631420420923,-0.0461120393562411,-0.0384809929004341,-0.0439038040815945,0.0484590915724062,0.0227524033590638,-0.0636916391877999
"R13070",-0.100086966727321,0.0573938416598263,0.0564106612701807,-0.133239364357411,-0.0783745578919856,-0.104960615301776,0.096105427502862,-0.145045998029208,-0.102157063967859,0.026939313576493,-0.0562460848763421,0.21844095774022,0.0211215137367646,-0.00508324537190442,0.118809870063399
"R13071",0.0272173167353077,0.076760171595224,-0.0393981365051992,0.0284214612337909,0.0470119223744947,0.0102324919634336,-0.122021386128761,-0.0353063817353279,-0.0310859768795638,-0.0179096974548747,-0.103181754370098,-0.0432023964636573,-0.0385466284546026,0.0712941554552826,0.0210203390578574
"R13075",0.140152979816707,-0.0430296415593995,-0.0222497167681991,-0.044190875213475,0.00903933713591498,0.127438743926305,-0.102060534226299,0.179358771859427,0.164273748876834,-0.180454610215431,0.00333844543055185,-0.0466877446628297,0.00779058777240361,0.00888529529348919,-0.0217155222698198
"R13077",-0.109646906796958,-0.0241394971256601,0.0753740657935822,-0.100525384701731,-0.0629529541184772,-0.103326992728498,0.0675613951817702,-0.0201943072923022,0.0455764749360195,-6.53838849078178e-05,-0.173983588063066,-0.0611942791675326,0.116238300822446,-0.00599158885912024,0.0740848948129821
"R13078",-0.0201293790150173,0.142862690179356,-0.0767180989605295,0.148167334643798,0.113087918150172,0.0277658573265282,-0.0731908051097685,0.0228100847674033,-0.0207766563736295,0.0910252525689747,-0.0770255489086902,0.0487394318112186,-0.10368372278593,0.0182531851338089,0.108590073598804
"R13081",0.030324089854937,-0.143599332631712,-0.033007679326934,0.0508400908174375,-0.145989694635602,-0.138897859943985,-0.0534227875932102,-0.158756912184773,-0.141600286062235,-0.00484948195134314,-0.113661830550043,-0.0988849017056807,0.0695652554503255,0.148126015505468,-0.187266368119259
"R13083",-0.0251069183614581,-0.0542721305363372,0.0780944534636363,-0.00262527111161824,-0.0996181738584716,-0.0365718195249825,0.00874910262359739,0.0233792258236278,0.0657473923254893,-0.119722719621737,-0.0605842665899041,-0.0735585467625164,0.0484223729818373,-0.0361476017805289,-0.0183625269614617
"R13084",0.0923142611985644,-0.133130477930836,-0.00688034111938216,0.0141992477256698,-0.0370505254193911,-0.0201534567549861,0.0280338823189652,0.0128008662457247,0.0338084425966372,0.0438306019526283,-0.06231820369198,0.0409592569946519,0.0186540742271192,0.0693154220830373,-0.121310105464758
"R13086",-0.00209168856761779,-0.0389195191834057,0.00439720377243721,0.124527280930275,-0.0399077652841581,0.0818065437934127,0.0093467031113959,0.0355050957990877,0.0955977642058503,0.137024120107856,0.115742095997957,-0.0127563958887278,0.0441031377487641,-0.108172628648913,-0.0553575055191882
"R13087",0.0642174713595864,-0.0755755917732047,0.00558303637363816,-0.0614131607887481,0.0166871769061994,-0.0627026751955032,-0.0288561054464229,0.0149911058534568,0.010302314407557,-0.0654108252337476,-0.179848823054551,-0.0997415673926593,-0.00337776796216826,0.0266182927083288,-0.112852414648814
"R13088",0.0848066274369594,-0.154678535432442,-0.139462925895283,0.00173819385828535,-0.0523233512869945,0.0478407019460992,-0.0284632160322562,0.115321443390009,-0.0206304873242391,-0.255121776880455,-0.11860804117868,-0.0956933620098801,-0.126905834909756,0.0609815273802788,0.0304282267181519
"R13089",0.166582463175183,0.0456280544688559,-0.089742719817653,0.136796816577247,0.122359248039582,-0.00508002352468983,-0.176295854299472,-0.0562241213542264,-0.092879725607778,-0.018264936064968,-0.0365168988874201,0.0343037968769298,-0.0304758550229914,0.0891350055143981,-0.138494098626107
"R13090",-0.163780270427585,-0.0428643711734106,0.0887509355717317,-0.131540677253728,-0.162994310020046,-0.0732585523385836,0.132631077060144,-0.0355518090081692,-0.0236914389541264,0.0150736273112265,-0.0315023252329002,0.0193573138862252,0.0238012887162702,-0.0501329537379896,0.0451939435443162
"R13091",0.0789967977953667,0.0028013058323439,-0.101291503189513,0.051709059590413,-0.0360806659967845,-0.0610850168203444,-0.0149737203713318,-0.0759803864774168,-0.115987653997609,0.106475496904997,-0.01522354391201,0.0519499786882148,0.000589345115173437,0.126158978209743,-0.0821244312934726
"R13106",-0.00843210936090301,0.033838182722638,0.0429642363171987,-0.083057376265214,-0.0517857347315623,-0.0698237089757127,0.0934360179284418,-0.0668482288517879,-0.039585656970499,0.0169165128725997,-0.00342765839450805,-0.00580669998481848,0.0472678079810346,0.0354826194242999,0.0372015805090863
"R13109",-0.150942869947471,0.0238722952155399,0.15461572431736,-0.120081011301202,-0.149626116827281,-0.024069924134868,0.0552610395405305,0.0174550062943789,0.0667706139034481,-0.00744062848306915,-0.0063689535913133,0.0289304553993172,0.0866419816823021,-0.0653661425456629,0.0656922141228046
"R13111",0.0402091210836017,-0.0691905970324889,0.0313346507413259,0.0914608828088445,-0.0547696899075294,-0.07817283190296,-0.00156509243329426,-0.0719750034932724,-0.0322954304748665,-0.0283795686094141,-0.0135179154571237,0.026278110766557,0.073033164228729,0.0695452145389404,-0.0893302607283065
"R13112",0.13585960789205,0.0399611350924862,0.0728827616378356,-0.0498876992888588,-0.06176133903932,-0.0992748770699354,0.0717564632722651,-0.0737935222853989,-0.034840098119125,-0.129014339648504,-0.059622434665386,-0.0389694734457344,0.0899802357218993,0.119010267514577,-0.0355329039742748
"R13113",-0.159495426007644,-0.262521833494687,0.116837254456568,-0.0542789435408421,-0.057096689852554,0.0823074031948351,0.0246906422203532,0.0919976772379095,0.106517178164007,-0.0873632081751073,-0.0650912482402514,-0.0841490793400488,-0.0709458595415051,-0.189575384152909,-0.104959619360103
"R13114",0.06272097641198,-0.0748955847439639,-0.0325603390382621,0.083247690325404,0.0850503809877277,0.00165480964528992,-0.0800271344699367,-0.00520131183172375,0.0262294036144359,0.0418561523867151,-0.0929758136025641,-0.0772348112459048,0.00182357825723179,0.0607231958276163,-0.0707144474074501
"R13115",0.0116225041191356,-0.000633487353486688,-0.15658627435721,0.0638837859900031,-0.0100622557205504,0.00569582173531195,-0.00181429240845897,0.0333676162566562,-0.0813064994058104,-0.0315046156706631,-0.0961852527768824,-0.0109991389012266,-0.0847550926305986,0.124932938676877,0.0497291409718823
"R13118",0.0636323284725028,-0.0212189583187559,0.0265969605697619,-0.0780918676505179,-0.0267373779236771,0.0185909597189218,0.0899188844528336,0.0159189199745471,0.0423639658700898,-0.0381817760878078,0.0802435234484578,-0.0887274246347415,0.0197288373151712,-0.0249438497342137,-0.0283565135705234
"R13121",-0.273779624654651,0.156716477846384,-0.147006073655327,-0.242690897795554,-0.123630205454891,-0.0718681769717727,0.184024128430576,-0.0310815424199309,-0.166537486370044,0.176323679857636,0.0933530149558262,0.0122648176350144,-0.17427551669837,-0.105836098601326,0.211172440669395
"R13122",-0.0537003860431653,0.0316872576166482,-0.144737536673188,-0.015277759628144,-0.0228438273659453,-0.0149367319191664,0.0593829686846441,0.00131320268934264,-0.0713031356280397,-0.0529314916560804,-0.0376737044670392,-0.00100798201634311,-0.0613219604993283,0.0109231485323673,0.0867038918604602
"R13124",0.09628212941822,-0.0570514276098511,-0.0624796281145285,-0.0862740460196659,-0.017404574022547,-0.100523984063218,0.0569645486640445,-0.0585552516703892,-0.044599786502357,-0.0876130174252212,-0.00158511728980768,-0.129024597870603,0.02228585404712,0.126069139597677,-0.0449804269863403
"R13125",0.0705967126207901,-0.0304895303715334,-0.150812780299069,0.108742500737091,0.00861598950417303,-0.0150303198637757,-0.0435457895702415,-0.0018512513714091,-0.0857662466271179,0.0626563099692839,-0.0528811665671431,0.124138140230502,-0.0853078709891483,0.0204301810888098,-0.0525534537250959
"R13126",-0.0294535369723667,-0.151776961648118,-0.070676731236438,-0.0956309238748485,-0.241703039874918,-0.0979349180328955,0.189891543368338,0.108894687193343,0.0554029753227763,-0.0910122236408862,-0.0437041034254548,0.00471828302244437,0.0974301537923666,0.135192069916377,0.0206208584907805
"R13127",-0.000610052806956945,-0.113203060219884,0.0450073825054877,-0.152707321122787,-0.00622383117388796,-0.00123077591761717,-0.0164348585358372,0.0202046156003707,0.0789006555398889,-0.252124005793546,-0.0264338594183601,-0.0226008708796074,0.0690135383623352,0.00273295769663944,-0.0786786353917227
"R13129",0.00107191617639954,0.0245222914807786,-0.0395499645867733,-0.0101123472214248,0.0826739331168121,0.0591765681895317,0.0592732711205071,0.0146621033284264,0.000635913014884076,-0.0128357485787266,0.157141601419428,0.00177545361126284,-0.111499449521758,-0.0392750859654332,0.0279050710871477
"R13132",-0.120871051153227,0.0251188370984066,0.0941428498643318,-0.0852765969487076,-0.0491000011869837,0.0801711097899214,0.0140176686691768,0.108358993667649,0.177747250521315,0.0623951147015349,-0.0599955917999594,-0.00609571518982395,0.162723239410164,-0.0382183785097831,0.202381236464673
"R13133",0.0695286229875045,0.115186786344442,0.00372007003073784,0.0200401901457257,0.0185554720248445,0.017267684020843,0.0373761664844735,-0.0506797845758031,-0.107895772164883,-0.0743753115087288,0.0578483321419029,0.0401349279509382,-0.0206356202159496,0.0988474655209099,0.157184665508589
"R13134",-0.0439190439085128,0.0730803405141086,0.0693394534935401,-0.00789876633428512,-0.0439926676507264,-0.0745558201670364,0.0997938223368258,-0.114947225907952,-0.0996797014897319,0.0533737545484717,0.0753926446624251,-0.088261054714772,0.0673004722220132,0.0573778762107872,0.0260147749963386
"R13137",0.125517109172047,0.0599708134055789,-0.150822492994023,0.172710299245583,0.0747480456461796,0.0417198197350619,-0.138690559358725,0.0745728997852654,0.0406786327742986,-0.0909345468541638,-0.063715532385226,0.103823189499919,-0.00964222144282509,0.0592768364477366,0.0318376494557296
"R13138",0.0880962708020729,-0.0702732546783284,0.203636841343523,0.0488410010789942,0.0743160575642852,-0.00500092822278884,-0.15992929372634,0.0444139593759185,0.186996770095613,-0.101490604528501,-0.0237753017038209,0.0790204088976678,0.192922820723359,-0.0400853122858879,-0.21219739969328
"R13141",0.0403388334677128,0.0105476507969564,-0.0631562237512361,-0.0712318609502504,-0.171985761692776,-0.133959001999053,0.130181249567443,-0.126599527970541,-0.214479107982086,-0.036641797610985,0.00776897143436856,-0.065783725875353,0.0336604595027522,0.156958505452617,-0.0233055077490996
"R13145",-0.0493370373296944,-0.115889207132653,0.0809969623910183,-0.0978765334963178,-0.169553198036603,-0.0717259356492653,0.0810965941481875,0.0610785676491984,0.138663016282892,0.0570190012139624,-0.195783868037962,0.398802581901672,0.194286635452349,0.126806199246649,0.0359162033012288
"R13151",0.124634819005945,-0.107286063840233,0.114221088671824,-0.0975587037803487,-0.202803471304418,-0.364191752571872,0.113292292871152,-0.44850187062197,-0.301453385177785,0.0529276973599714,-0.184382627104775,-0.0770060925808958,0.223521197243051,0.274997597882626,-0.250316443181125
"R13269",0.0469625760971887,0.115755711717139,-0.0690221112165823,0.131650350491912,0.0712738369521904,-0.0576287146862489,-0.0715295569965823,-0.0886558274952566,-0.126945972638424,0.0707659953637914,0.0108760118293277,0.0354877764470709,-0.0642406991366828,0.0188208296477283,0.0198142604358075
"R13270",0.0548854388319289,0.0752803241980941,-0.0798828874719667,0.100923240039992,-0.0213540222098056,-0.0432167380048477,-0.0730807899005947,-0.0402308120318177,-0.0751570313741988,0.0444000098968272,-0.0458081994185004,0.0597236256898093,-0.00784354318861479,0.0280082142333672,-0.0213704961765906
"R13287",0.0764356490058529,-0.0744701238040085,-0.088629246316344,-0.102747194666248,-0.0437139656662563,0.0063412376155606,0.082833056613777,0.0125102655037606,-0.0656417652353104,-0.0580058537844818,0.00298328146792752,-0.149262874077043,-0.0699405009747197,0.0830991619488104,-0.0293578109644909
"R13288",-0.184057634526058,0.0505255489455319,0.121820946782688,-0.105193376747833,-0.140164527308735,-0.109584049328106,0.0925352273693393,-0.0388597673888403,0.062074632219486,0.0817988094775628,-0.0479659641403125,-3.34827143740505e-05,0.171203455322813,-0.0102887399886072,0.0104291741629325
"R13296",0.118157639016644,0.0202727332174425,-0.127048981087917,0.165092457939742,0.11770341603017,0.0559097633540902,-0.148366178327265,0.0387714317792548,-0.0264227796084863,-0.0117799588744299,-0.0378299066023659,0.0382752014910478,-0.0556202099756025,0.0860376801977886,-0.0307014949874043
"R13301",-0.0672906265258707,-0.154892750566932,0.0973049814304945,-0.022315048505543,-0.126080442029536,-0.062893961621063,0.0669041837820236,-0.0184361413043986,0.0278077872992542,0.0418388675018571,-0.066142708749677,0.0281106314726534,0.103857045035285,0.0339254293802048,-0.0453895602962546
"R13305",-0.0769136815183064,0.0830028777867156,-0.0612362547253574,0.0471871811355838,0.0130366376954886,0.107880592258965,0.0712770725686588,0.0964292028133692,0.0216573099727817,0.0540134538938786,0.0999217411845099,-0.0279825795913979,-0.147632611734999,-0.143575054523233,0.178533695161365
"R13318",0.00393828391235737,0.0948389442008514,-0.0360373017759311,0.114314347868506,0.0841363773965929,0.086726301087516,-0.049089845084673,0.0496376785957245,0.0367539755624194,0.140395697563981,0.157352479744591,0.28763000871428,-0.100510126727146,-0.0805678139679913,0.00136871241326994
"R13334",-0.0272267511653667,0.0232830868303615,0.0128587889896966,-0.109810168867388,-0.0334745852610828,-0.0723983159425854,0.0597007508992692,-0.0625509993856867,-0.0225662020210445,0.135097110340814,-0.0731744256594079,0.0492655328957391,0.029648822088463,0.0483199233600397,0.0264529715955999
