ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
C2747816	Complicated malaria	73	0.608744001360046	2.04533107745325	9.69790011196786e-07	0.00966977620164315	0.00940594227701809	962	tags=25%, list=7%, signal=23%	HLA-A/SMN1/ABCB1/NFE2L2/ENOSF1/GEM/DNAJB1/BCL6/MCCC1/GNB3/RGS2/CMC2/TLR6/POU2F1/ACKR1/LMLN/MXD1/IL10RA
C0036472	Scrub Typhus	34	0.722235210283696	2.10597384838024	3.62883186715876e-06	0.01809154127372	0.017597924644211	729	tags=24%, list=6%, signal=22%	FOS/HLA-A/FOSB/AHSA1/HLA-C/HSPD1/RNF19A/XPO1
C0149904	Cholestatic hepatitis	5	0.970579188366953	1.7346174916987	1.19152071598835e-05	0.0396021768637329	0.0385216557091814	239	tags=60%, list=2%, signal=59%	HLA-A/NFE2L2/SARNP
