Tissue	Cell_type	OR	PValue	FDR	Direction
Caudate	Astrocytes	1.4151197774750226	7.679803971962987e-05	0.00024959362908879705	Up
Caudate	Cerebellum neurons	1.04840333716916	0.6178964252709912	0.6797399322709886	Up
Caudate	Cholinergic and monoaminergic neurons	0.794643378702027	0.01563716299691064	0.031543932252388704	Up
Caudate	Choroid epithelial cells	1.4166418049599105	0.0001088120773660567	0.00032643623209817015	Up
Caudate	Dentate gyrus granule neurons	1.196070072087435	0.04117923155665167	0.07770919503432654	Up
Caudate	Dentate gyrus radial glia-like cells	1.117828512825129	0.2089167443376726	0.31744492321438567	Up
Caudate	Di- and mesencephalon excitatory neurons	1.0930380026839304	0.33881515328821676	0.4404529591730891	Up
Caudate	Di- and mesencephalon inhibitory neurons	1.0579338079592864	0.5537890099298877	0.6352285702136947	Up
Caudate	Enteric glia	1.5332191216271203	5.178234745036266e-06	2.4234138606769724e-05	Up
Caudate	Enteric neurons	1.0879758354824844	0.3563348159263554	0.44829218777831814	Up
Caudate	Ependymal cells	2.4302634281606244	1.6587071595714342e-22	6.468957922328594e-21	Up
Caudate	Glutamatergic neuroblasts	1.3102559818025992	0.0028033879290288973	0.00655992775392762	Up
Caudate	Hindbrain neurons	0.9098152933324829	0.334585245645801	0.4404529591730891	Up
Caudate	Microglia	1.390296871046639	0.00036131514456005833	0.0009831133003145773	Up
Caudate	Non-glutamatergic neuroblasts	0.9611877666198564	0.7073742843835864	0.7389534935078537	Up
Caudate	Olfactory ensheathing cells	1.3431874020417673	0.0009347147739279256	0.002377426707599289	Up
Caudate	Olfactory inhibitory neurons	1.0432347853328974	0.6732498907141161	0.709641776698663	Up
Caudate	Oligodendrocyte precursor cells	1.0769049327928457	0.43105672202497847	0.5199343966693039	Up
Caudate	Oligodendrocytes	0.9706487450281168	0.7532777017314893	0.7799423991379137	Up
Caudate	Peptidergic neurons	1.0582600282394128	0.5430194099912605	0.6321301702173213	Up
Caudate	Pericytes	1.655018289533327	3.8642794731254884e-08	2.6595335197393066e-07	Up
Caudate	Peripheral sensory neurofilament neurons	1.0499169205206313	0.5935587436859275	0.661394028678605	Up
Caudate	Peripheral sensory non-peptidergic neurons	0.9366389240826695	0.49610815123310004	0.5922923846354358	Up
Caudate	Peripheral sensory peptidergic neurons	1.0860866968725251	0.3641922505113414	0.4533031203173079	Up
Caudate	Perivascular macrophages	1.517497036185616	6.0580772412953845e-06	2.625166804561333e-05	Up
Caudate	Satellite glia	1.3143616982940662	0.0024040679173445764	0.005859915548527405	Up
Caudate	Schwann cells	1.0959391408189958	0.3041563117085376	0.427034554458173	Up
Caudate	Spinal cord excitatory neurons	1.1025282775204845	0.30976155305936426	0.427034554458173	Up
Caudate	Spinal cord inhibitory neurons	1.1937612309074572	0.06207261943969261	0.11003782537036418	Up
Caudate	Subcommissural organ hypendymal cells	1.761992678911108	1.0769273767133826e-10	1.1690290345905574e-09	Up
Caudate	Subventricular zone radial glia-like cells	1.4752855897600587	1.1050651586621965e-05	4.4583663297750685e-05	Up
Caudate	Sympathetic cholinergic neurons	0.8824898443454415	0.19369381081901238	0.29953239349599053	Up
Caudate	Sympathetic noradrenergic neurons	0.7907290836892006	0.014324246049847307	0.029927442639859553	Up
Caudate	Telencephalon inhibitory interneurons	1.0462428649620767	0.6216425021623571	0.6797399322709886	Up
Caudate	Telencephalon projecting excitatory neurons	1.1250911125319694	0.19456805047602804	0.29953239349599053	Up
Caudate	Telencephalon projecting inhibitory neurons	1.0110230983096258	0.9282371557600839	0.944380410642868	Up
Caudate	Vascular and leptomeningeal cells	2.1256373498847387	2.7718345340652384e-15	5.405077341427215e-14	Up
Caudate	Vascular endothelial cells	1.4268656716417911	0.000106392065901487	0.00032643623209817015	Up
Caudate	Vascular smooth muscle cells	1.8131931862843778	4.2939268865252277e-10	3.588496040881797e-09	Up
Caudate	Astrocytes	1.5501818484688636	3.4420288217281844e-07	1.7509450962704243e-06	Down
Caudate	Cerebellum neurons	1.0769912876321583	0.41950868607793595	0.5112762111574845	Down
Caudate	Cholinergic and monoaminergic neurons	0.835467223799575	0.058838675892190995	0.10927182665692614	Down
Caudate	Choroid epithelial cells	1.2251366501929692	0.026095063428016336	0.05005118723078543	Down
Caudate	Dentate gyrus granule neurons	1.212951324707332	0.026064987336682062	0.05005118723078543	Down
Caudate	Dentate gyrus radial glia-like cells	1.4198675386067334	4.419559215712875e-05	0.00014773955092525897	Down
Caudate	Di- and mesencephalon excitatory neurons	1.150052757261065	0.1120530064879354	0.18465072900124566	Down
Caudate	Di- and mesencephalon inhibitory neurons	0.9461191961191961	0.563969825634566	0.6404745221933491	Down
Caudate	Enteric glia	1.501579218832402	9.007554223028995e-06	3.763870871765687e-05	Down
Caudate	Enteric neurons	1.0465987102142709	0.6441920800804399	0.6851861215401043	Down
Caudate	Ependymal cells	1.89524637609152	4.2983969282651376e-11	5.587916006744679e-10	Down
Caudate	Glutamatergic neuroblasts	1.292496910336988	0.003736957408759093	0.008573019937741448	Down
Caudate	Hindbrain neurons	0.8818009024825525	0.17639625825217187	0.28027821849487483	Down
Caudate	Microglia	1.521051337178399	5.792426211471135e-06	2.606591795162011e-05	Down
Caudate	Non-glutamatergic neuroblasts	0.9105199516324063	0.30167160734355863	0.427034554458173	Down
Caudate	Olfactory ensheathing cells	1.3623098833772236	0.00037841377951093114	0.0010062366409722488	Down
