Module_ID,N_Genes,DEG_OR,DEG_P,DEG_FDR,DEG_noMHC_OR,DEG_noMHC_P,DEG_noMHC_FDR
grey,9301,1.3818420749793043,2.55746465496979e-15,2.1099083403500767e-14,1.4133040158181294,3.656370671866836e-17,3.0165058042901394e-16
saddlebrown,81,1.2384659198784886,0.49660236036262595,0.5462625963988885,1.2488206043605763,0.4947852024202788,0.5442637226623067
cyan,387,2.6417886316771537,1.448431349267018e-14,7.966372420968599e-14,2.6202169951408405,3.604968248832e-14,1.9827325368575998e-13
yellow,852,1.1384975329518867,0.2022090923841247,0.24714444624726353,1.1097669997634196,0.30781687175492534,0.3762206210337976
blue,1086,0.6230030413216437,1.019720189616618e-05,4.8072523224783415e-05,0.63104310330746,1.7875709511251428e-05,8.427120198161387e-05
paleturquoise,57,0.25819763992352823,0.04175043847146352,0.06560783188372839,0.2864572680788897,0.08549813522317853,0.11285753849459566
pink,498,0.667242878578911,0.010571434891792183,0.0174428675714571,0.6690364724553609,0.011844072332631243,0.01954271934884155
purple,423,0.518651244314665,0.0003136625057377009,0.0008625718907786774,0.5127649545357784,0.00027123861917169,0.0007459062027221474
darkgrey,185,0.36176514325369286,0.0010002921023107392,0.0025392030289426454,0.3711719224574199,0.0013390332047481567,0.0031562925540492264
turquoise,2005,0.46422432551365994,1.6755300494630478e-19,1.8430830544093525e-18,0.46587104045547295,3.1609142176863746e-19,5.215508459182518e-18
royalblue,236,0.3452455438341215,8.89566010227417e-05,0.0002736169834946966,0.35289301760536645,0.00016933973134011058,0.0005080191940203318
darkturquoise,188,4.507850985221675,8.189218125509361e-20,1.3512209907090444e-18,4.626528840842736,2.6394538686403913e-20,8.71019776651329e-19
orange,155,0.7610460577673692,0.3898254464284415,0.45517688724077365,0.7674180865006553,0.3893334733407565,0.4535339634067333
midnightblue,379,0.8850131991798822,0.5280415940642875,0.5621087936813383,0.8924975748603757,0.5277377043452793,0.561785298174007
red,590,0.5243067907077699,1.9714977667944447e-05,7.228825144912965e-05,0.5287453829961984,3.183431054441112e-05,0.00011672580532950746
magenta,482,0.6210412617191097,0.003206185416617359,0.0062237716910807555,0.6291975509196645,0.00473001916754961,0.008671701807174286
greenyellow,418,0.5650677051820668,0.001532202908320895,0.0035267940543289088,0.5759016218060483,0.0023577805172843008,0.0051871171380254615
darkred,218,3.426856224253994,1.1689691432782008e-14,7.715196345636126e-14,3.4560684279785403,8.093030961406637e-15,5.34140043452838e-14
black,545,2.6668355640535375,5.515620821769841e-20,1.3512209907090444e-18,2.6265153120071556,7.585462445169748e-19,8.344008689686722e-18
green,645,0.7648360721534809,0.044829910398054444,0.06724486559708168,0.7713589223203385,0.05116189589601508,0.08039726497945227
white,119,0.7235964593185401,0.40000393121158895,0.45517688724077365,0.7365027071639675,0.3985601496604626,0.4535339634067333
lightgreen,250,0.355950240358152,9.120566116489886e-05,0.0002736169834946966,0.35892949555188647,8.977487558574688e-05,0.0002962570894329647
brown,996,0.7234789172948066,0.0030426116737479933,0.0062237716910807555,0.7297234881336233,0.004059547279527386,0.007880297660259043
skyblue,102,0.7725691699604743,0.5456327265040205,0.5626837492072712,0.7790253225035834,0.5454032550751505,0.562447106796249
darkorange,141,0.5414850798056905,0.07031883931980548,0.09282086790214324,0.5545333219751825,0.06934120437750362,0.099489554106853
lightcyan,344,0.3888791934596126,1.4275144031533292e-05,5.888496913007483e-05,0.4008922998256399,2.4791556526050498e-05,0.00010226517066995829
salmon,401,1.5448662902735049,0.0016030882065131403,0.0035267940543289088,1.5580548837948613,0.0012071101371838938,0.0030642026559283457
violet,51,0.7729819300875878,0.8301252417698263,0.8301252417698263,0.7967905748527321,0.8288444448795941,0.8288444448795941
darkgreen,214,1.6966136394075517,0.004467482576904085,0.008190384724324156,1.710941967373915,0.0031893776272629987,0.006578091356229935
lightyellow,242,0.6383902150325508,0.060863704271165116,0.08368759337285203,0.6496657754010695,0.07370444425245276,0.10134361084712254
grey60,336,0.5929254076503764,0.009257341792379246,0.016078541007816582,0.5979128533054413,0.009203549405857086,0.015985112125962306
tan,405,0.7547128888246245,0.10862780961553672,0.13787375835818122,0.765351457132279,0.12468901854994212,0.1582591389287727
steelblue,66,0.33810041971086585,0.05873452637247695,0.08368759337285203,0.34091897628616663,0.05861543303759521,0.08792314955639283
