Tissue	Module_ID	N_Genes	OR	P-value	FDR	Direction
Caudate	grey	13702	1.6968075293733211	2.3903670757113715e-15	2.868440490853646e-14	All
Caudate	grey	13702	1.661033367805108	8.278707419286442e-08	3.0567535086596095e-07	Downregulated in AA
Caudate	grey	13702	1.6693941285524956	2.5328551768007484e-08	1.0131420707202993e-07	Upregulated in AA
Caudate	brown	1006	2.337699576409254	7.908461346307198e-14	6.326769077045758e-13	All
Caudate	brown	1006	0.9485461561887792	0.9218144877366081	0.9832687869190486	Downregulated in AA
Caudate	brown	1006	3.6991229175196043	6.204134220857063e-22	1.4889922130056952e-20	Upregulated in AA
Caudate	cyan	27	16.930368462757528	1.917499324822899e-08	8.367269781045377e-08	All
Caudate	cyan	27	1.4523424878836833	0.5103087614379351	0.5832100130719259	Downregulated in AA
Caudate	cyan	27	27.921202695697254	4.890249123459446e-10	2.347319579260534e-09	Upregulated in AA
Caudate	turquoise	2021	0.47868511123787794	5.681316368825976e-11	3.4087898212955857e-10	All
Caudate	turquoise	2021	0.9946747648620836	1.0	1.0	Downregulated in AA
Caudate	turquoise	2021	0.07310324914652581	4.409225769082971e-25	2.1164283691598263e-23	Upregulated in AA
Caudate	yellow	643	0.2190360771884031	3.222252312954762e-10	1.7185345669092063e-09	All
Caudate	yellow	643	0.47372052269183534	0.010980037608312999	0.023988771827646308	Downregulated in AA
Caudate	yellow	643	0.0	4.835519698936822e-11	3.315784936413821e-10	Upregulated in AA
Caudate	blue	1587	0.2689233870967742	3.3338185039217834e-19	5.3341096062748535e-18	All
Caudate	blue	1587	0.13553491572067425	3.1723287523667064e-15	3.045435602272038e-14	Downregulated in AA
Caudate	blue	1587	0.4172867961059641	2.002145812331353e-06	6.86449992799321e-06	Upregulated in AA
Caudate	red	157	0.8589542002609482	0.7586738264262971	0.8468917132200525	All
Caudate	red	157	1.853844377741861	0.07714964190941366	0.13225652898756626	Downregulated in AA
Caudate	red	157	0.0	0.0047802976703137535	0.012076541482897904	Upregulated in AA
Caudate	black	151	0.6219370164089436	0.2676324082106398	0.36703873126030606	All
Caudate	black	151	0.7448979591836735	0.8223837614515284	0.8971459215834855	Downregulated in AA
Caudate	black	151	0.524582651391162	0.3823610193039565	0.47059817760486955	Upregulated in AA
Caudate	greenyellow	57	2.680810624012638	0.025387907960655532	0.048744783284458616	All
Caudate	greenyellow	57	4.787385253183299	0.0028313145320531005	0.007550172085474934	Downregulated in AA
Caudate	greenyellow	57	0.6509928963513077	1.0	1.0	Upregulated in AA
Caudate	pink	103	2.7248133509003076	0.016161399328153275	0.03232279865630655	All
Caudate	pink	103	0.0	0.41142048226424044	0.48166300362642783	Downregulated in AA
Caudate	pink	103	5.557622739018088	0.00025399951986125087	0.0007619985595837527	Upregulated in AA
Caudate	green	190	0.0638830654553925	1.0623006202760426e-05	3.3993619848833364e-05	All
Caudate	green	190	0.13685668128317563	0.010994853754337891	0.023988771827646308	Downregulated in AA
Caudate	green	190	0.0	0.0009628018994512376	0.0027184994808034943	Upregulated in AA
Caudate	purple	64	0.0	0.014494970907970719	0.030250374068808455	All
Caudate	purple	64	0.0	0.17661094676880357	0.2637492316226924	Downregulated in AA
Caudate	purple	64	0.0	0.18132759674060106	0.2637492316226924	Upregulated in AA
Caudate	tan	43	3.0613170347003154	0.03670003211119679	0.06775390543605561	All
Caudate	tan	43	3.575512008251068	0.06284237371614917	0.11171977549537632	Downregulated in AA
Caudate	tan	43	2.156414880117545	0.25313126089522486	0.35736178008737624	Upregulated in AA
Caudate	midnightblue	25	3.056451612903226	0.17203712951780917	0.2637492316226924	All
Caudate	midnightblue	25	2.9063004846526654	0.31317555206537667	0.4175674027538356	Downregulated in AA
Caudate	midnightblue	25	2.7535787321063396	0.3270426821646275	0.42427158767303025	Upregulated in AA
Caudate	salmon	40	0.32085815954981795	0.3638791465953916	0.45963681675207363	All
Caudate	salmon	40	0.68710143695264	1.0	1.0	Downregulated in AA
Caudate	salmon	40	0.0	0.40513902582295347	0.48166300362642783	Upregulated in AA
Caudate	magenta	67	0.0	0.009180320144899995	0.02203276834775999	All
Caudate	magenta	67	0.0	0.18094736639322478	0.2637492316226924	Downregulated in AA
Caudate	magenta	67	0.0	0.11536384108492961	0.19094704731298695	Upregulated in AA
Dentate Gyrus	grey	3949	2.502645409163042	4.16031486423569e-37	4.992377837082827e-35	All
Dentate Gyrus	grey	3949	2.548655537902284	5.598806775082172e-23	3.3592840650493034e-21	Downregulated in AA
Dentate Gyrus	grey	3949	2.2628299056291103	1.2455511745325157e-14	3.736653523597547e-13	Upregulated in AA
Dentate Gyrus	blue	1151	0.6955028470073132	0.020289793058690914	0.0877112888134082	All
Dentate Gyrus	blue	1151	0.6944022743425728	0.08532408946662401	0.20477781471989762	Downregulated in AA
Dentate Gyrus	blue	1151	0.7114937524892787	0.1609818756304804	0.3389092118536429	Upregulated in AA
Dentate Gyrus	brown	1097	1.6253834902299067	7.94663137761481e-05	0.000794663137761481	All
Dentate Gyrus	brown	1097	1.4504757200231955	0.024801299696347475	0.09300487386130303	Downregulated in AA
Dentate Gyrus	brown	1097	1.7771009724061366	0.0009120616456062589	0.005760389340671109	Upregulated in AA
Dentate Gyrus	orangered4	35	0.5663726333907056	1.0	1.0	All
Dentate Gyrus	orangered4	35	1.058589676746611	0.618314868815499	0.8580146020058936	Downregulated in AA
Dentate Gyrus	orangered4	35	0.0	1.0	1.0	Upregulated in AA
Dentate Gyrus	turquoise	2060	0.7056670665034275	0.0028363319684634354	0.017017991810780612	All
Dentate Gyrus	turquoise	2060	0.7009042427311103	0.025909710368980973	0.09421712861447626	Downregulated in AA
Dentate Gyrus	turquoise	2060	0.7260766355996368	0.06563964740407059	0.183180411360197	Upregulated in AA
Dentate Gyrus	black	640	0.7449627541133678	0.17667223403972077	0.3419462594317176	All
Dentate Gyrus	black	640	0.9563338709186623	1.0	1.0	Downregulated in AA
Dentate Gyrus	black	640	0.5068141734808401	0.0630494169963845	0.18291518999880102	Upregulated in AA
Dentate Gyrus	salmon	456	0.611600953394297	0.06057912069818362	0.18173736209455088	All
Dentate Gyrus	salmon	456	0.7792616885902202	0.49133681760064274	0.7279063964453966	Downregulated in AA
Dentate Gyrus	salmon	456	0.42659377574272783	0.047711585735065	0.15474027805967028	Upregulated in AA
