Modules	Beta	Pvalue	FDR	Tissue
MEbisque4	-0.0140807363615549	0.890481112936604	0.996949240444026	Hippocampus
MEblack	0.00698249980513142	0.945562835358374	0.996949240444026	Hippocampus
MEblue	0.144564722874311	0.155804397402013	0.996949240444026	Hippocampus
MEbrown	0.0532753339612113	0.602198401134945	0.996949240444026	Hippocampus
MEbrown4	-0.0609961779119711	0.55058588410149	0.996949240444026	Hippocampus
MEcyan	-0.0376993798224577	0.712315532885592	0.996949240444026	Hippocampus
MEdarkgreen	0.0272409396598058	0.78991835167019	0.996949240444026	Hippocampus
MEdarkgrey	0.0317130426788131	0.756432106162492	0.996949240444026	Hippocampus
MEdarkmagenta	-0.00238340267320304	0.98140584455265	0.996949240444026	Hippocampus
MEdarkolivegreen	0.128688987938997	0.206804495762516	0.996949240444026	Hippocampus
MEdarkorange	0.0228153409170428	0.823438363310127	0.996949240444026	Hippocampus
MEdarkorange2	-0.0164472097938707	0.872219891951192	0.996949240444026	Hippocampus
MEdarkred	0.149558946926314	0.141893986115925	0.996949240444026	Hippocampus
MEdarkturquoise	0.0667435346592715	0.513617533909721	0.996949240444026	Hippocampus
MEfloralwhite	0.0138661754203104	0.892139791931713	0.996949240444026	Hippocampus
MEgreen	0.0657928237676012	0.519643416265513	0.996949240444026	Hippocampus
MEgreenyellow	-0.0275469474942809	0.787613991382555	0.996949240444026	Hippocampus
MEgrey	0.0208982682714322	0.838061749348218	0.996949240444026	Hippocampus
MEgrey60	-0.137696936154787	0.176570080158158	0.996949240444026	Hippocampus
MEivory	-0.00812189729242159	0.936696977121361	0.996949240444026	Hippocampus
MElightcyan	-0.0863189464354446	0.397952780662892	0.996949240444026	Hippocampus
MElightcyan1	0.000391012953441258	0.996949240444026	0.996949240444026	Hippocampus
MElightgreen	-0.0044960619794035	0.964931923178727	0.996949240444026	Hippocampus
MElightsteelblue1	0.0649536845583802	0.524991907833204	0.996949240444026	Hippocampus
MElightyellow	-0.00696734912834071	0.945680772831852	0.996949240444026	Hippocampus
MEmagenta	0.0069912620716441	0.945494627750232	0.996949240444026	Hippocampus
MEmediumpurple3	0.0696005219725362	0.495727783594919	0.996949240444026	Hippocampus
MEmidnightblue	-0.00179770360717656	0.985974644733636	0.996949240444026	Hippocampus
MEorange	-0.0402151757449323	0.694045890213499	0.996949240444026	Hippocampus
MEorangered4	0.105352595495645	0.301888002959606	0.996949240444026	Hippocampus
MEpaleturquoise	0.0871033986387542	0.393666435128436	0.996949240444026	Hippocampus
MEpink	0.00855455406169836	0.933332367677101	0.996949240444026	Hippocampus
MEplum1	-0.11877084240638	0.2441984714114	0.996949240444026	Hippocampus
MEpurple	0.0115838746847398	0.909810736219763	0.996949240444026	Hippocampus
MEred	-0.037400005030392	0.71450073110625	0.996949240444026	Hippocampus
MEroyalblue	-0.0156869887244662	0.878079386543296	0.996949240444026	Hippocampus
MEsaddlebrown	-0.189995443800815	0.0613628603220883	0.996949240444026	Hippocampus
MEsalmon	0.115238657631216	0.25858418423812	0.996949240444026	Hippocampus
MEsienna3	0.0597953168292385	0.558470329372622	0.996949240444026	Hippocampus
MEskyblue	0.138722864314899	0.173344797462727	0.996949240444026	Hippocampus
MEskyblue3	0.0201706466349416	0.843626818075921	0.996949240444026	Hippocampus
MEsteelblue	-0.102011547101692	0.31754290643677	0.996949240444026	Hippocampus
MEtan	0.00573194732937565	0.955301244146357	0.996949240444026	Hippocampus
MEturquoise	-0.00673895052370653	0.947458838072159	0.996949240444026	Hippocampus
MEviolet	0.00387966555055971	0.969737190324403	0.996949240444026	Hippocampus
MEwhite	0.0320141061019902	0.754193186893896	0.996949240444026	Hippocampus
MEyellow	-0.148594998785287	0.144502728753545	0.996949240444026	Hippocampus
MEyellowgreen	0.0346465755705716	0.734705068485321	0.996949240444026	Hippocampus
