group	trait	type	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
AST0	Alzheimer Disease	1	0.2688057808892532	0.5082790349589136	0.09787834450797495	1.8908783630971175	0.3641229150064313	0.014553183144949746	2.131769636770249e-10	7.103745327611721e-10	0.30009094336254166
AST0	Alzheimer Disease2	1	0.2688057808892532	0.46771056294276425	0.09273610061131397	1.7399572337897706	0.3449929547814332	0.05308551821967348	-3.100434520028872e-11	6.531113727720812e-10	-0.04747175825264404
AST0	Alzheimer Disease3	1	0.2688057808892532	0.449249351095431	0.05818380428321674	1.6712786072131378	0.2164529501215906	0.0009179087617317849	-5.227812403716499e-11	7.793683758888229e-10	-0.06707755363764269
AST0	STROKE1	1	0.2688057808892532	0.3188220846637888	0.02604419958616961	1.186068557041718	0.09688853974795915	0.05612660627851832	-6.346163425310572e-10	1.1430826020114619e-09	-0.5551797756473017
AST0	STROKE2	1	0.2688057808892532	0.3285098421998538	0.02560750340683094	1.222108546598551	0.09526396092419276	0.017229196447539116	9.53717326862709e-11	1.2175876573234723e-09	0.07832843254663005
AST0	Parkinson Disease	1	0.2688057808892532	0.36270641549485616	0.03778934649462339	1.3493252053395741	0.14058234301959613	0.011709652249513217	-8.435977870904431e-10	2.1524120127883908e-09	-0.39193136912369547
MG3	Alzheimer Disease	1	0.25229338791332356	0.4835177611509281	0.07685066413304821	1.9164900243721117	0.30460831640760466	0.003854138416828588	1.3012231475437791e-09	7.29090276753973e-10	1.7847215756833756
MG3	Alzheimer Disease2	1	0.25229338791332356	0.4712716188229427	0.06713988329265638	1.8679507327589973	0.2661182833524062	0.008492608721190495	1.4327957371877628e-09	7.388697733817313e-10	1.9391722178997841
MG3	Alzheimer Disease3	1	0.25229338791332356	0.41262841805262573	0.045159650970919056	1.6355102345939638	0.17899656960662735	0.00021566275222675453	1.1897082158937772e-09	7.438403622744031e-10	1.599413363717003
MG3	STROKE1	1	0.25229338791332356	0.2688931048594306	0.026297211221756756	1.0657952912813153	0.10423266118567986	0.530531411464489	-1.1410779355910298e-09	1.0825704920103318e-09	-1.0540449273396042
MG3	STROKE2	1	0.25229338791332356	0.27977140625459834	0.024043394887568584	1.1089129547489962	0.09529934607651624	0.25222331415569843	-5.147189325216102e-10	1.089295030353452e-09	-0.4725248148379006
MG3	Parkinson Disease	1	0.25229338791332356	0.3494651782237883	0.04084430009845778	1.3851539317544403	0.16189207508081824	0.00993429332463648	2.0890526238515676e-09	2.0310463433867903e-09	1.0285598015297137
MG2	Alzheimer Disease	1	0.22898516882371364	0.3385437462340247	0.03731400934239975	1.4784527223885655	0.1629538259358897	0.0035402627586976236	-1.4017881194156131e-09	7.644853628047784e-10	-1.8336363096249084
MG2	Alzheimer Disease2	1	0.22898516882371364	0.32584354543709526	0.02680512909368143	1.4229897382041758	0.1170605468964569	0.0016091570575152035	-1.3383525836639355e-09	7.651829735161885e-10	-1.749062158968205
MG2	Alzheimer Disease3	1	0.22898516882371364	0.33173791031292277	0.025910068512158095	1.4487309899459657	0.11315173225085683	0.00010869022531085427	-1.5206847741496557e-09	9.67366668549011e-10	-1.5719838439653775
MG2	STROKE1	1	0.22898516882371364	0.28853290991443276	0.028382586513122532	1.2600506460598	0.12394945340312905	0.035297662745741115	7.079445075208636e-10	1.4146522781955805e-09	0.5004371169032874
MG2	STROKE2	1	0.22898516882371364	0.2814048414135951	0.025961527999024524	1.228921693309479	0.11337646072183499	0.0397373055590243	5.945448148509208e-10	1.455527485279467e-09	0.4084737807178996
MG2	Parkinson Disease	1	0.22898516882371364	0.2703790747406344	0.03410845705353843	1.1807711221192156	0.14895487436479846	0.21578716857955635	-3.145114851660881e-09	2.050492248643737e-09	-1.5338340604511738
OPC1	Alzheimer Disease	1	0.3806558422615468	0.5319928670044414	0.06403446850468844	1.3975691633780616	0.16822142574838156	0.01666105619761741	1.991493146540576e-10	4.82791197945482e-10	0.4124957445403676
OPC1	Alzheimer Disease2	1	0.3806558422615468	0.5283115603013324	0.05744454254633493	1.3878982052726043	0.15090939417886318	0.02517724752105738	3.1364865118997906e-10	4.4050147735230534e-10	0.71202633206864
OPC1	Alzheimer Disease3	1	0.3806558422615468	0.4761129868414888	0.03692167551219573	1.2507702075786185	0.09699490041407804	0.006356636355177988	-1.8507011124627414e-10	5.331323183744559e-10	-0.3471372956915483
OPC1	STROKE1	1	0.3806558422615468	0.3920642711968491	0.030309405787556653	1.0299704553791234	0.0796241707666507	0.7053721809421223	-1.041719120285378e-09	1.077942416399117e-09	-0.9663958894624969
OPC1	STROKE2	1	0.3806558422615468	0.40055265517658595	0.027744300146240793	1.0522698214661004	0.07288552300000645	0.46842065656879095	-5.818829690873373e-10	1.068031091520386e-09	-0.544818380014577
OPC1	Parkinson Disease	1	0.3806558422615468	0.538646573484305	0.04747610617437334	1.4150487492431643	0.12472186396065539	0.0004135288712286413	4.562208607910928e-09	2.0383582982791515e-09	2.23817795515268
