Modules	Pvalue	FDR	Tissue
MEblack	0.294954398824312	0.961919307170546	DLPFC
MEblue	0.914586938765214	0.961919307170546	DLPFC
MEbrown	0.644341072173659	0.961919307170546	DLPFC
MEcyan	0.823160910154702	0.961919307170546	DLPFC
MEdarkgreen	0.637242924983524	0.961919307170546	DLPFC
MEdarkred	0.718759988115779	0.961919307170546	DLPFC
MEgreen	0.747043741551303	0.961919307170546	DLPFC
MEgreenyellow	0.961919307170546	0.961919307170546	DLPFC
MEgrey	0.956479808456922	0.961919307170546	DLPFC
MEgrey60	0.839555060717542	0.961919307170546	DLPFC
MElightcyan	0.889943224909341	0.961919307170546	DLPFC
MElightgreen	0.90659510442422	0.961919307170546	DLPFC
MElightyellow	0.716645935567172	0.961919307170546	DLPFC
MEmagenta	0.658878843700763	0.961919307170546	DLPFC
MEmidnightblue	0.842551502398275	0.961919307170546	DLPFC
MEpink	0.5102021118551	0.961919307170546	DLPFC
MEpurple	0.334814698356172	0.961919307170546	DLPFC
MEred	0.855966542924606	0.961919307170546	DLPFC
MEroyalblue	0.676830107438021	0.961919307170546	DLPFC
MEsalmon	0.362386846352953	0.961919307170546	DLPFC
MEtan	0.930568937649009	0.961919307170546	DLPFC
MEturquoise	0.382558691774348	0.961919307170546	DLPFC
MEyellow	0.804084415063593	0.961919307170546	DLPFC
