Simulation,PValue,Rsq
93,0.0029764046116480774,0.03616411269981915
80,0.003796170336294377,0.03437950188055459
28,0.012207286745631386,0.02588240924492621
6,0.018476832586669954,0.02290818815553678
46,0.02635571667073353,0.020384364240829185
83,0.02874257452819376,0.019772427522246033
11,0.03306972271096572,0.018786392425594406
70,0.036599393473270965,0.01807651660567447
23,0.038402204310720625,0.01774093318932535
42,0.04710384148758084,0.016323161570788603
68,0.04818741922523597,0.016166098597661396
12,0.050297832262935056,0.015870556629788365
84,0.050634573400327905,0.01582460593574843
69,0.05548685621981818,0.015195995889750501
1,0.06903560728297878,0.013708048178221358
54,0.07287128099332796,0.013342818172430871
15,0.07480506787525698,0.01316637510830184
63,0.0768594782275698,0.012984181465811925
16,0.07759702419147795,0.01292003905732463
22,0.08000387350850041,0.012715169868041455
20,0.08232511201718436,0.012523746629014199
7,0.08495634823291784,0.012313639448753329
17,0.0854533506260992,0.012274738618307461
78,0.08815283076780246,0.012067610717887998
87,0.09292457118353975,0.011717669870749925
47,0.09309109125606502,0.011705810511773846
34,0.09860919773973856,0.011325289972915214
50,0.11873676433271126,0.010110940726543416
95,0.12126629403271688,0.009974472418058555
73,0.12226091278750491,0.009921668991224732
2,0.12266487657594921,0.009900357954717805
37,0.13095021983871258,0.009479604277215664
77,0.13509745285981847,0.009279935760535598
97,0.14401487282562628,0.00887279936191112
4,0.14828478366201522,0.00868771804128992
90,0.15674007762600115,0.008338283903088476
45,0.15774018968109368,0.008298363054662604
39,0.1790904233265731,0.0075088257892019835
0,0.1835788286465669,0.007356544417746291
10,0.18727904586279945,0.007234198375797791
27,0.21000260508849464,0.00653970461899924
66,0.21961302838449784,0.006272077155704191
55,0.2251655064527802,0.006123710987753148
72,0.2287861834411604,0.00602929562810545
49,0.23176003582526844,0.005953075674328798
85,0.2331568770802561,0.005917678623192749
53,0.24373305636174508,0.005657703976737071
40,0.27825377664928447,0.0048965132294436975
14,0.28176902578449314,0.004825622426755021
61,0.3025438166906766,0.004428348224726749
57,0.3083491410724098,0.004323531106661884
65,0.322705341498572,0.004074963161113212
24,0.3293912961407499,0.003964091761335163
30,0.33853910608596705,0.00381713515791405
43,0.35549439100642743,0.0035583510800393098
76,0.36541886784816857,0.003414539939232639
31,0.3936598261802373,0.0030334083636720465
81,0.409320555893102,0.0028384338014478113
3,0.4200299108967023,0.002711264894685482
25,0.443894115668351,0.0024445807261686244
29,0.4447319108802663,0.002435615961326715
26,0.446120776283498,0.0024208117659421714
94,0.45084919329517803,0.0023709410181394735
60,0.46861944755089824,0.002190616167044219
62,0.4750000339775058,0.002128501708378821
35,0.4765116791889368,0.0021139830903596627
36,0.5094748512419438,0.001815237532920692
86,0.5168716854236435,0.0017526583537523488
79,0.5191527380314762,0.001733673534445653
9,0.5342800768157343,0.0016114083013888862
19,0.541320589242116,0.0015566025474660979
71,0.5456339558610053,0.00152366574436151
92,0.547552778780528,0.0015091677218356493
56,0.5522420519233738,0.001474131791300626
91,0.5567228680640208,0.0014411708409146527
98,0.558040132864926,0.0014315761859349898
38,0.5691959616130775,0.0013520242039731843
75,0.5815772810316592,0.0012672170116417637
8,0.5958929469813408,0.0011735665685554556
88,0.6175603518177282,0.0010404221544757623
99,0.6304205023856464,0.0009660900903624419
44,0.6582932693259583,0.0008163805382837368
51,0.6684846195181087,0.0007653829354047041
33,0.6862174249009492,0.0006812311319879797
32,0.6870553039553537,0.0006773960710085323
59,0.7036701604287189,0.0006039162833522987
74,0.7173786300378813,0.0005468981317930383
21,0.722208892493388,0.0005275676896669909
48,0.7560592902773424,0.0004028802847162406
13,0.756384469937237,0.00040177201385723996
18,0.7681680039298387,0.0003627332708231199
41,0.7770824079449383,0.00033463526882254925
64,0.8180357069820503,0.00022099050887759673
58,0.8540929096916231,0.00014119531014505866
67,0.8654622736982778,0.00011984586555177292
82,0.888070164236444,8.270868701790515e-05
52,0.9490466357936425,1.7050866549261052e-05
89,0.9698474676926297,5.9657702151492e-06
5,0.9929216639581463,3.2861477684891944e-07
96,0.9941368404257296,2.254678428156261e-07
