Simulation,PValue,Rsq
85,0.0024059270679822197,0.03772795452304144
28,0.008430855665747089,0.02855935053129645
90,0.011379296498818369,0.02638901379589191
41,0.013417287767948049,0.025201840481081123
46,0.01956466669295261,0.022499979252852943
54,0.02179198056798895,0.021732341414369003
76,0.02866149816872143,0.01979233848000814
74,0.029549132755213658,0.019577456005609298
89,0.051472252911666266,0.015711676744048435
8,0.05722487756204316,0.014984815463201243
88,0.061131461135282825,0.014533859382179303
19,0.09190737112154151,0.011790615685230084
25,0.09921062689653569,0.011285216639706136
52,0.09946753216748147,0.011268179254611444
16,0.10158610238710647,0.011129475803213301
55,0.11173759326472996,0.010505851647367448
94,0.12719473791036207,0.009666558933008482
48,0.13124671083908895,0.009465098157029797
75,0.13622935200882647,0.009226622429029135
62,0.14146823320982368,0.008986134675585606
79,0.14198376592414721,0.008963008252908283
98,0.15910337321157492,0.008244408311843249
59,0.16122894665209273,0.008161314015668136
4,0.16489348389181646,0.008020934282232616
18,0.1683241502172688,0.007892691303688056
11,0.17123015071571443,0.0077863699596846985
66,0.18398620227445417,0.007342935911872172
0,0.1985352715281322,0.006878576099166011
27,0.2070969831449587,0.0066234773558427225
53,0.20729955075994172,0.006617592348283802
12,0.21052252215371006,0.006524858750195889
61,0.21357270988933738,0.006438625276374548
92,0.21741558793146454,0.006332031249500768
49,0.23489317036315882,0.0058740333648569934
65,0.24476182427353146,0.005633146150557452
34,0.2559576414904275,0.005373760479459843
70,0.2622009678878393,0.005235079393087236
6,0.2840277156371789,0.004780656597575601
35,0.2854818766605242,0.004751945145342844
3,0.29308147440656956,0.0046048498745889285
37,0.2940171583379793,0.004587074233365011
73,0.301137093911318,0.004454137301524438
2,0.3239743796912463,0.004053687577174017
64,0.3250185418833855,0.004036264107094978
63,0.35712349237734786,0.0035343693521832815
5,0.3607613431096225,0.0034813534820410845
24,0.38168070123624265,0.003190221865460112
68,0.39063830012486955,0.0030723155101075013
71,0.39076264862568,0.003070705841683183
36,0.3958568795853269,0.0030053852033537225
97,0.4089316249567967,0.002843144143950123
10,0.4216325528188558,0.002692646587601118
42,0.4221728528961576,0.0026863935150684857
9,0.42269403429669494,0.0026803730047788815
72,0.4345566918500421,0.002546282889696393
20,0.44799329528731,0.0024009646341722666
78,0.4578733196530338,0.0022983441796109692
15,0.4827793800991689,0.002054576102691067
82,0.5172499640515109,0.001749499872855899
39,0.519153000560963,0.0017336713578684673
30,0.526756539092938,0.0016714350979860199
96,0.5338275782091508,0.001614975568620815
95,0.5372660293680016,0.001588005022622047
40,0.5374718822469817,0.0015864002878028757
56,0.5500309553147542,0.0014905825266688512
51,0.5502627123617503,0.001488852434892892
26,0.5542639976588806,0.001459196142910893
91,0.5703592457942022,0.001343902034456722
21,0.5704283516495487,0.0013434205470174907
80,0.5740025811364615,0.0013186722351862747
14,0.5806776712757175,0.001273258193319883
60,0.5985769254394233,0.0011565203115510793
69,0.601016542762213,0.0011411637801952857
50,0.6263219457123148,0.0009894100816721437
77,0.6427574378468128,0.0008979408494552998
22,0.658755503484802,0.0008140250597363954
86,0.6624770376639988,0.0007952082958403566
38,0.6948766310594188,0.0006422003359663891
23,0.6990216623290205,0.0006239859246173196
17,0.7272886031447153,0.0005076602866949393
67,0.73361494173145,0.0004834655423315087
87,0.7565959210570079,0.00040105224764824007
47,0.7572941750397156,0.0003986804551699777
7,0.7819249027132666,0.00031988368039330455
32,0.8052382824455504,0.0002538232164238052
43,0.8082728071543528,0.0002458204389719087
99,0.8171216082397559,0.00022325622929845226
29,0.8202368279110043,0.00021558459613957442
13,0.8208989997667948,0.00021397208386200357
93,0.8246830799281554,0.00020487902774124568
45,0.8487739087138908,0.00015180455355349304
81,0.8586778319025654,0.0001323686810555991
31,0.8626575679801967,0.00012494514278831785
44,0.8935315447425591,7.478750612704643e-05
58,0.9080171566533888,5.573728134811623e-05
33,0.9240039871832577,3.799297172957673e-05
1,0.939427848484946,2.410958714962125e-05
57,0.9431542907155132,2.1229511099020592e-05
83,0.9874103987864864,1.0396165357672381e-06
84,0.996108688684604,9.931361455105292e-08
